,term,cnt
0,emanuel,1
1,wisdom,1
2,latter-day,1
3,commandments,2
4,temples,1
5,pre-possessions,1
6,dispute,1
7,particularly,1
8,bishop,1
9,recommend,3
10,mormonism,3
11,oneself,1
12,dies,1
13,referred,1
14,remain,1
15,parents,2
16,eternal,4
17,exist,1
18,influenced,1
19,live,2
20,concludes,1
21,principle,1
22,weddings,1
23,worthy,1
24,snow,1
25,prejudices,1
26,need,1
27,joseph,1
28,stake,1
29,given,2
30,requires,2
31,relationships,1
32,civilly,1
33,everlasting,1
34,commandment,2
35,viewed,1
36,coeleste,1
37,translated,1
38,promise,1
39,righteous,2
40,emphasizing,1
41,dead,1
42,receive,1
43,takes,1
44,person,3
45,argue,1
46,following,4
47,swedenborgs,2
48,godhe,1
49,branches,1
50,authorized,4
51,abide,2
52,early,2
53,continue,2
54,allows,1
55,term,4
56,effect,1
57,fact,1
58,point,1
59,swedenborgian,1
60,craig,1
61,endowment,1
62,enter,3
63,changed,1
64,policy,1
65,fundamentalists,3
66,plural,10
67,born,1
68,sealing,3
69,clowes,1
70,certain,1
71,bond,1
72,state,1
73,wife,7
74,valid,2
75,view,2
76,priesthood,2
77,voice,1
78,covenant,3
79,mortals,2
80,recent,1
81,apostle,1
82,described,1
83,considered,1
84,eternities,1
85,christian,1
86,promised,1
87,conjugium,1
88,associated,1
89,heavenly,2
90,saints,1
91,interviewed,1
92,affiliated,1
93,subject,1
94,meaning,1
95,conditions,1
96,true,1
97,ceremony,2
98,thing,1
99,prerequisite,1
100,like,2
101,gods,1
102,attend,1
103,today,2
104,believe,3
105,refers,1
106,goodness,1
107,parties,1
108,posthumous,1
109,used,1
110,smith,3
111,partner,1
112,covenants,5
113,allowed,1
114,example,1
115,joining,1
116,offshoots,1
117,sarah,1
118,return,1
119,overcome,1
120,sacrifice,1
121,making,1
122,said,2
123,teachings,2
124,partners,2
125,chaste,1
126,abstaining,1
127,substantial,1
128,celestial,24
129,wrote,1
130,involves,2
131,affirms,1
132,people,3
133,claims,1
134,husband,4
135,death,2
136,actual,1
137,particular,1
138,perform,1
139,previously,1
140,minds,1
141,establish,1
142,official,1
143,interpret,1
144,long,1
145,expounded,1
146,place,1
147,died,1
148,baptisms,1
149,combat,1
150,married,6
151,proxy,3
152,couple,2
153,abandoned,1
154,inside,1
155,lords,1
156,jesus,3
157,make,1
158,eternity,4
159,offered,1
160,created,1
161,addition,2
162,living,3
163,usually,2
164,longer,1
165,impure,1
166,willing,1
167,obedient,2
168,deceased,1
169,family,2
170,hold,2
171,joined,1
172,separated,1
173,conducted,1
174,forms,1
175,continued,1
176,simply,1
177,statement,1
178,life,4
179,according,2
180,concept,1
181,connections,1
182,mormon,4
183,quote,1
184,cleveland,1
185,article,1
186,doctrine,3
187,religious,1
188,preferred,1
189,consecrate,1
190,ordinance,3
191,accompany,1
192,truly,1
193,read,1
194,almighty,1
195,merely,1
196,forwardto,1
197,power,1
198,doctrinal,1
199,expected,1
200,proper,1
201,constitutes,1
202,latin,1
203,century,1
204,couples,1
205,investigated,1
206,marriages,11
207,companion,1
208,asked,1
209,time,5
210,alive,1
211,sealings,2
212,undergoing,1
213,similarities,1
214,lord,1
215,john,1
216,traditions,1
217,righteousness,1
218,instance,1
219,later,1
220,kingdom,1
221,properly,1
222,authority,2
223,matthew,3
224,union,1
225,remains,1
226,contracting,1
227,good,1
228,lorenzo,1
229,learned,1
230,church,16
231,possibility,1
232,likely,1
233,president,2
234,woman,3
235,forever,1
236,heaven,2
237,applying,1
238,angels,1
239,cases,1
240,translators,1
241,obtaining,2
242,temple,8
243,written,1
244,truth,2
245,performed,4
246,introducing,1
247,citing,1
248,called,2
249,swedenborg,5
250,fundamentalism,1
251,world,1
252,retained,1
253,unlikely,1
254,women,2
255,continuing,1
256,afterlife,1
257,resurrection,3
258,marriage,36
259,clean,1
260,cleave,1
261,wives,1
262,principles,1
263,monogamous,2
264,smiths,1
265,love,3
266,subsequent,1
267,formally,1
268,knew,3
269,miller,1
270,practice,2
271,mormons,4
272,marry,1
273,sense,1
274,children,4
275,works,1
276,including,1
277,distinguishes,1
278,christ,1
279,sealed,10
280,defined,1
