,term,cnt
0,officially,1
1,middle,1
2,nights,1
3,national,1
4,discussing,1
5,waiting,1
6,whilst,2
7,dictionary,1
8,notably,1
9,endured,1
10,little,1
11,publicity,2
12,following,1
13,attempted,1
14,prepared,1
15,friends,3
16,society,3
17,early,1
18,road,1
19,quaker,2
20,does,1
21,fact,2
22,inspiration,1
23,single-handed,1
24,second,2
25,failed,4
26,translations,1
27,makes,1
28,years,1
29,versions,1
30,english,14
31,certain,1
32,project,1
33,criticism,1
34,northern,1
35,received,1
36,manuscript,2
37,text,2
38,field,1
39,christian,2
40,revised,2
41,times,1
42,publication,3
43,unreliable,1
44,translation,11
45,farley,1
46,factors,1
47,purvers,5
48,sold,2
49,sales,3
50,evidence,1
51,standard,1
52,translator,1
53,jewish,1
54,impression,1
55,academics,1
56,gained,1
57,king,2
58,richardson,1
59,tested,1
60,justify,1
61,lacked,1
62,widespread,1
63,details,1
64,wrote,1
65,held,2
66,great,1
67,portion,1
68,gone,1
69,long,1
70,one-man,1
71,yearly,1
72,failing,1
73,alternative,1
74,edition,2
75,biography,1
76,make,2
77,novelty,1
78,launched,1
79,expense,2
80,unlike,1
81,successful,2
82,similarity,1
83,examples,1
84,fothergill,2
85,built,1
86,shut,1
87,provides,1
88,volume,1
89,bristol,1
90,parts,1
91,base,1
92,expository,1
93,bible,17
94,exploring,1
95,books,1
96,mark,1
97,backed,2
98,passage,1
99,printed,1
100,despite,2
101,compared,1
102,modern,3
103,published,6
104,regarded,1
105,followed,1
106,records,1
107,article,3
108,title,1
109,religious,3
110,felix,1
111,list,1
112,ireland,1
113,reasons,1
114,advanced,1
115,clark,1
116,deficiencies,1
117,reference,1
118,highlight,1
119,laboured,1
120,story,1
121,help,1
122,competitors,1
123,century,2
124,claimed,1
125,large,1
126,explanatory,1
127,backing,1
128,involved,1
129,publisher,1
130,difficult,1
131,preserve,1
132,belonged,1
133,john,2
134,number,2
135,britain,1
136,generally,1
137,lack,1
138,authority,1
139,light,1
140,notes,1
141,ends,1
142,self-taught,1
143,testament,2
144,james,2
145,harold,2
146,various,1
147,church,1
148,analogy,3
149,volumes,2
150,nationwide,1
151,venture,1
152,receiving,1
153,meeting,1
154,churches,1
155,purver,11
156,days,1
157,arriving,1
158,anthony,1
159,literal,1
160,gestation,1
161,eighteenth,1
162,user,1
163,mainstream,1
164,london,2
165,contrast,2
166,miscellaneous,1
167,support,1
168,guineas,1
169,periods,1
170,including,1
171,critical,1
172,failure,2
