,term,cnt
0,summer,9
1,finland,1
2,iran,1
3,juhannus,1
4,concur,1
5,position,1
6,fremont,2
7,picchu,1
8,nearly,1
9,useful,1
10,notion,1
11,rituals,1
12,machu,1
13,national,1
14,peru,1
15,june,4
16,colloquially,1
17,words,1
18,meteorological,1
19,calendar,1
20,dates,1
21,varied,1
22,data,2
23,hemispheres,2
24,length,1
25,music,1
26,lies,1
27,reflection,1
28,following,1
29,international,2
30,term,1
31,geographically,1
32,southern,5
33,years,1
34,occurs,4
35,shift,1
36,northern,6
37,inti,1
38,solstice,19
39,contain,1
40,aboriginal,1
41,times,1
42,regions,1
43,andean-amazonic,1
44,longest,2
45,surfing,1
46,institute,1
47,longitudes,1
48,arranged,1
49,year,2
50,like,1
51,north,1
52,twice,1
53,used,1
54,reaches,2
55,happens,1
56,finnish,1
57,information,1
58,shortest,1
59,tilt,1
60,holidays,1
61,canada,1
62,recognize,1
63,hemisphere,7
64,refer,1
65,polar,1
66,geographic,1
67,planets,1
68,daylight,2
69,tripantu,1
70,seen,1
71,event,2
72,tables,2
73,chile,1
74,greatest,1
75,stand,1
76,direction,1
77,guru,1
78,moon,1
79,website,1
80,moment,2
81,festivals,1
82,christmas,1
83,purnima,1
84,ireland,1
85,height,1
86,continuous,1
87,sistere,1
88,mapuche,1
89,private,1
90,states,1
91,midsummer,2
92,derived,1
93,latin,1
94,washington,1
95,typically,1
96,passed,1
97,seattle,1
98,time,3
99,tiregān,1
100,earths,1
101,religion,1
102,collected,1
103,axis,1
104,worldwide,1
105,interpretation,1
106,winter,1
107,fertility,1
108,raymi,1
109,months,1
110,themes,1
111,star,1
112,parade,1
113,united,1
114,highest,1
115,yoga,1
116,willkakuti,1
117,orbits,1
118,depending,1
119,south,1
120,come,1
121,aymara,1
122,inclined,1
123,days,1
124,period,1
125,world,1
126,axial,1
127,rotational,1
128,opposite,1
129,estival,1
130,pole,3
131,india,1
132,aestival,1
133,cultures,1
134,longitude,1
135,marks,1
136,referred,1
137,noon,3
138,maximum,1
