,term,cnt
0,solids,1
1,trapped,1
2,remain,1
3,models,1
4,cooling,2
5,exist,2
6,kilometers,1
7,differentiation,2
8,ceases,1
9,dikes,1
10,tonalite,1
11,need,1
12,potassium,2
13,ancient,1
14,andesite,1
15,considering,1
16,little,1
17,crust,6
18,averages,1
19,core,1
20,rhyolite,2
21,movement,1
22,processes,2
23,especially,1
24,magmas,9
25,point,1
26,reached,1
27,cemented,1
28,beneath,1
29,hawaii,1
30,solidus,1
31,project,1
32,satellites,1
33,andor,1
34,leads,1
35,relative,1
36,considered,1
37,poor,1
38,greek,1
39,complex,2
40,dissolution,1
41,finding,1
42,solidus-liquidus,1
43,increasingly,1
44,pyroclastic,1
45,pluton,1
46,physical,2
47,granite,2
48,cause,4
49,atoms,1
50,temperature,8
51,starting,1
52,mid-ocean,2
53,rheid,1
54,type,1
55,eutectic,1
56,portion,1
57,eventually,2
58,bulk,3
59,minerals,2
60,ridges,2
61,rarely,1
62,parameters,1
63,eruption,4
64,known,4
65,diapir,1
66,volatile,2
67,planets,1
68,related,1
69,mass,2
70,small,2
71,order,1
72,characteristics,1
73,sills,1
74,points,1
75,hole,2
76,potassic,1
77,cools,5
78,geothermal,4
79,tetrahedral,1
80,fairly,1
81,calcium,1
82,carbonatite,2
83,primary,6
84,atomic,2
85,primitive,6
86,preserved,1
87,buoyantly,1
88,resists,1
89,erupts,1
90,rubidium,1
91,plutonic,1
92,grow,1
93,large,2
94,basalt,3
95,time,1
96,earths,4
97,stabilize,1
98,chambers,2
99,source,1
100,mixing,1
101,process,2
102,surrounding,1
103,case,1
104,ends,1
105,allow,1
106,carbon,1
107,cotectic,1
108,essexite,1
109,suspended,1
110,mafic,3
111,volcano,2
112,polymerized,1
113,pumice,1
114,gradually,1
115,assumed,1
116,subduction,2
117,observed,1
118,depending,1
119,collects,2
120,degree,2
121,obsidian,1
122,solidify,2
123,layered,1
124,discussed,1
125,depend,1
126,projectstwice,1
127,relatively,2
128,formed,2
129,relationships,1
130,close,1
131,termed,1
132,oceanic,1
133,linkage,1
134,leave,1
135,determining,1
136,decided,1
137,allows,1
138,bodies,2
139,peralkaline,1
140,lamproite,1
141,parental,4
142,reasonably,1
143,occurs,1
144,mágma,1
145,reduction,1
146,rift,1
147,silica,5
148,lamprophyre,1
149,nature,1
150,contains,1
151,contain,1
152,silica-rich,2
153,liquid,3
154,expanding,1
155,melts,15
156,share,1
157,meaning,1
158,structures,1
159,past,1
160,cumulates,1
161,soften,1
162,surface,6
163,exsolution,2
164,μάγμα,1
165,massive,1
166,erupted,2
167,migmatites,1
168,widespread,1
169,making,1
170,aluminium,2
171,property,1
172,unguent,1
173,content,1
174,long,1
175,zone,1
176,rise,1
177,estimated,1
178,dangerous,1
179,pegmatite,1
180,granitoids,1
181,contamination,1
182,melt,19
183,examples,1
184,usually,3
185,major,1
186,tetrahedra,1
187,iceland,3
188,decay,1
189,forms,3
190,reduce,2
191,escape,1
192,controlled,2
193,monzonite,1
194,equivalents,1
195,history,1
196,stay,1
197,worlds,1
198,power,1
199,derived,2
200,areas,1
201,typically,4
202,iddp,1
203,represent,1
204,elements,3
205,holes,1
206,favor,1
207,difficult,1
208,correlated,1
209,drilling,3
210,lava,5
211,eruptions,2
