,term,cnt
0,having,2
1,middle,1
2,features,1
3,consistent,1
4,models,2
5,explicitly,1
6,differentiate,1
7,exist,2
8,gospels,59
9,dates,3
10,corners,1
11,earliest,1
12,dictionary,1
13,ancient,1
14,ebionites,1
15,dead,1
16,little,1
17,account,2
18,derives,1
19,letters,2
20,logos,1
21,prophecy,1
22,especially,2
23,court,1
24,damascus,1
25,arguing,1
26,second,2
27,corrupted,2
28,years,1
29,jonah,1
30,accurately,2
31,analysis,1
32,preaching,1
33,amen,1
34,substantially,1
35,claim,1
36,view,3
37,recent,1
38,eagle,1
39,apostle,3
40,carthage,1
41,considered,1
42,poor,1
43,yale,1
44,thief,1
45,papyri,1
46,preaches,1
47,kiss,1
48,greek,4
49,tischendorfianus,1
50,finding,1
51,temptation,1
52,scrolls,2
53,triumphal,1
54,referring,1
55,doubt,1
56,survived,1
57,ultimately,1
58,barberini,1
59,gods,1
60,characteristic,1
61,winds,1
62,logic,1
63,example,1
64,commission,4
65,context,1
66,return,1
67,cave,1
68,teachings,2
69,information,2
70,genre,6
71,epiphanius,1
72,reworking,1
73,hippo,1
74,things,1
75,preached,3
76,guiding,1
77,face,4
78,complete,1
79,previously,1
80,eventually,1
81,trial,1
82,beatitudes,1
83,places,1
84,date,4
85,inerrant,1
86,discovered,1
87,make,1
88,gentiles,1
89,known,4
90,reflect,1
91,lost,3
92,related,1
93,historic,1
94,order,4
95,didnt,1
96,german,1
97,bible,1
98,cleansed,1
99,eagleequivalent,1
100,fairly,1
101,jesusism,1
102,crown,1
103,origin,1
104,corinth,1
105,simply,1
106,introduces,1
107,judass,1
108,main,1
109,abraham,1
110,believed,1
111,rejection,1
112,read,1
113,jesuss,3
114,reader,1
115,corinthians,1
116,formgeschichte,1
117,unusual,1
118,circumcision,1
119,help,2
120,century,8
121,protoevangelion,1
122,musical,1
123,time,1
124,judas,6
125,accepted,3
126,goswell,2
127,healer,1
128,holy,1
129,newer,1
130,suggest,2
131,declaring,1
132,source,3
133,texts,2
134,later,2
135,alterations,1
136,suppose,1
137,purports,1
138,writings,4
139,light,1
140,transmission,3
141,hell,1
142,james,1
143,text-type,1
144,herods,1
145,various,1
146,synoptics,2
147,analogy,1
148,creatures,1
149,traditional,3
150,estimates,1
151,included,2
152,revelation,2
153,monacensis,1
154,temple,4
155,infancy,2
156,luke,16
157,evangelists,2
158,autographs,1
159,notable,1
160,represents,1
161,oracles,1
162,portray,1
163,incidents,1
164,launching,1
165,narrating,1
166,tawrat,1
167,inventions,1
168,consider,2
169,jewishchristian,1
170,historians,1
171,teach,1
172,mainstream,1
173,denounced,1
174,ending,1
175,subsequent,1
176,collectively,1
177,zabur,1
178,aquarian,1
179,higher,1
180,discussed,1
181,teacher,1
182,christ,4
183,synod,1
184,aramaic,1
185,perspective,1
186,selectively,1
187,fall,1
188,mild,1
189,preface,1
190,saxon,1
191,farewell,1
192,tradition,4
193,talked,1
194,character,1
195,contained,1
196,reflecting,1
197,bezae,1
198,early,8
199,road,2
200,plain,1
201,mocking,1
202,christianity,2
203,leading,1
204,word,4
205,synods,2
206,collections,1
207,historical,4
208,sanhedrin,1
209,criticism,3
210,describing,1
211,examined,1
212,evaluation,1
213,lacks,1
214,collection,1
215,stories,1
216,consensus,2
217,bull,1
218,significantly,1
219,innocent,1
220,contains,1
221,christian,6
222,seeking,1
223,contain,3
224,right,1
225,throne,1
226,portals,1
227,shares,1
228,martin,1
229,sold,1
230,adoration,2
231,appended,1
232,evidence,2
233,browns,1
234,picture,2
235,scriptures,1
236,means,1
237,betrayal,1
238,responsible,1
239,academics,1
240,aspect,1
241,parables,4
242,shepherds,1
243,extremes,1
244,peters,1
245,incarnation,1
246,presentation,1
247,antiquity,1
248,ezekiel,1
249,wrote,3
250,allegedly,1
251,rudolf,1
252,bultmann,1
253,ebbo,1
254,coming,3
255,single,1
256,interpret,1
257,fragments,3
258,gerhardsson,1
259,scholars,12
260,centuries,2
261,western,2
262,kells,1
263,refer,2
264,karl,1
265,proof,1
266,revealed,1
267,paul,2
268,circles,2
269,syria,2
270,addition,1
271,exorcist,1
272,examples,2
273,successful,1
274,usually,2
275,suggesting,1
276,tangere,1
277,hold,1
278,parts,1
279,book,3
280,supported,1
281,mount,2
282,presents,1
283,modern,1
284,life,4
285,rejected,2
286,jerome,1
287,edited,1
288,adversus,1
289,four-formed,1
290,controlled,2
291,value,1
292,records,1
293,indicating,1
294,thomas,3
295,two-gospel,1
296,facesthe,1
297,manuscripts,2
298,states,2
299,quran,2
300,tomb,1
301,greg,1
302,spoke,1
303,canon,3
304,transmitted,1
305,faithfully,1
306,authentic,2
307,represent,1
308,haereses,1
309,possessing,1
310,schmidt,1
311,interpretation,1
312,typical,1
313,greater,2
314,views,1
315,sermons,1
316,narrative,1
317,testament,4
318,lion,2
319,posit,1
320,patristic,1
321,basis,1
322,descriptions,1
323,harmonization,1
324,church,5
325,likely,4
326,islamic,1
327,oral,5
328,visitation,1
329,written,13
330,flagellation,1
331,espoused,1
332,proposed,2
333,truth,1
334,calls,1
335,shorter,1
336,called,1
337,historically,1
338,present,3
339,follows,1
340,bethlehem,1
341,quotations,1
342,tatian,1
343,stated,1
344,established,1
345,emmaus,1
346,vienna,1
347,maintain,1
348,commissioning,1
349,riches,1
350,birth,2
351,wide,1
352,christians,1
353,peter,2
354,sayings,2
355,support,1
356,raymond,1
357,transfiguration,1
358,marcionism,1
359,works,1
360,critical,3
361,fewer,1
362,compiled,1
363,dibelius,1
364,differed,1
365,ranges,1
366,injil,2
367,documents,1
368,include,1
369,came,1
370,closely,1
371,identify,1
372,lyons,1
373,magi,1
374,representative,1
375,literature,1
376,apocryphal,1
377,primarily,1
378,marcions,3
379,disciple,1
380,anointing,1
381,attributions,1
382,rabbinic,1
383,following,2
384,consequently,1
385,groups,2
386,term,3
387,does,1
388,marcion,3
389,valentinians,1
390,portions,1
391,descent,1
392,absolutely,1
393,innocents,1
394,obedience,1
395,pillars,1
396,torah,1
397,genuinely,1
398,acts,1
399,collector,1
400,argued,1
401,predominantly,1
402,text,6
403,variously,1
404,largely,1
405,promised,1
406,postulation,1
407,arose,1
408,image,1
409,forged,1
410,subject,1
411,concerns,1
412,recognized,1
413,surviving,1
414,arabic,2
415,orality,1
416,standard,1
417,believe,3
418,recast,1
419,used,8
420,understood,2
421,jewish,1
422,ministry,2
423,earth,1
424,important,2
425,left,1
426,says,2
427,doesnt,1
428,discussions,1
429,great,2
430,gospel,50
431,disciples,1
432,mary,2
433,extant,1
434,dolorosa,1
435,scholarship,1
436,lindisfarne,1
437,anglo,1
438,rising,1
439,stages,2
440,miracles,3
441,scanty,1
442,coronation,1
443,reliable,2
444,seen,1
445,assess,1
446,books,4
447,harmonies,2
448,ludwig,1
449,attempting,1
450,market,1
451,damasus,1
452,work,1
453,concept,1
454,reassurance,1
455,authored,1
456,convention,1
457,judge,1
458,doctrine,1
459,religious,1
460,list,1
461,model,2
462,message,1
463,widely,1
464,preceded,1
465,eye-witnesses,1
466,belief,1
467,betrayed,1
468,borne,1
469,borrowing,1
470,vary,1
471,propose,1
472,previous,1
473,composition,3
474,reading,2
475,high,1
476,preserve,1
477,spectrum,1
478,john,14
479,relationship,1
480,historicity,1
481,provide,1
482,liturgy,1
483,presenting,1
484,jewish-christian,1
485,tetraevangelia,1
486,matthew,18
487,compose,1
488,virginity,1
489,birger,1
490,false,1
491,theme,1
492,rationale,1
493,community,1
494,confused,1
495,washingtonianus,1
496,saint,1
497,document,1
498,galilee,1
499,reminded,1
500,discourse,1
501,testimony,1
502,medieval,1
503,popular,2
504,world,1
505,teaching,1
506,events,1
507,resurrection,1
508,origins,1
509,verify,1
510,brother,1
511,contrast,1
512,fulfilled,1
513,different,4
514,formal,1
515,oxford,1
516,authenticity,1
517,including,2
518,sense,1
519,based,1
520,baptism,2
521,oriented,1
522,intents,1
523,wisdom,1
524,jerusalem,4
525,explanation,1
526,noli,1
527,preceding,1
528,able,1
529,eternal,1
530,composed,2
531,placement,1
532,concludes,1
533,virgin,1
534,copies,2
535,critics,1
536,suggests,1
537,concerned,1
538,varying,1
539,group,1
540,evangelism,1
541,fourth,1
542,parallels,2
543,gnostic,3
544,citations,2
545,regional,1
546,paints,1
547,gódspell,1
548,evangelium,1
549,catholic,1
550,taken,2
551,harrowing,1
552,sinope,1
553,εὐαγγέλιον,1
554,coptic,1
555,non-pejorative,1
556,implicit,1
557,ascension,1
558,performing,1
559,signs,1
560,english,2
561,entombment,1
562,cross,1
563,roman,1
564,developed,1
565,extensively,1
566,study,1
567,galilean,1
568,disuse,1
569,childhood,1
570,majority,3
571,appears,1
572,accounting,1
573,agrapha,1
574,replaced,1
575,writing,1
576,exaggerations,1
577,massacre,1
578,black,1
579,originally,1
580,original,6
581,like,1
582,psalms,1
583,paraclete,1
584,lingua,1
585,finally,1
586,uncial,1
587,refers,1
588,offers,1
589,thorns,1
590,acknowledgment,1
591,princeton,1
592,narratives,1
593,biblical,5
594,cleansing,2
595,vision,1
596,bodmer,1
597,fell,1
598,degrees,1
599,lists,1
600,said,4
601,possibly,1
602,diatessaron,1
603,perpetual,1
604,people,2
605,distinct,1
606,death,1
607,orient,1
608,insistence,1
609,godspell,1
610,tell,1
611,non-canonical,1
612,alleged,1
613,accounts,2
614,authors,2
615,crucified,1
616,apostles,1
617,jesus,26
618,half,1
619,apparently,2
620,central,3
621,synoptic,6
622,universally,1
623,conventional,1
624,egypt,1
625,mark,15
626,embraced,1
627,apocalyptic,1
628,possible,3
629,exclusively,1
630,reliably,1
631,إنجيل,1
632,pope,2
633,supper,1
