,term,cnt
0,submarine,2
1,blend,1
2,connects,1
3,report,1
4,well-known,1
5,features,1
6,hydrology,2
7,phenomenon,1
8,properties,1
9,models,1
10,textbooks,1
11,national,1
12,dredging,1
13,solar,1
14,hill,1
15,emphasis,1
16,echo,1
17,folger,1
18,wind,2
19,little,1
20,late,2
21,brought,1
22,depth,4
23,processes,1
24,animals,2
25,explained,1
26,fishermen,1
27,science,4
28,covering,1
29,limited,1
30,encyclopedia,1
31,león,1
32,accumulation,1
33,line,1
34,mysteries,1
35,second,1
36,years,1
37,oceanology,1
38,geological,3
39,structure,1
40,project,1
41,driver,1
42,superintendent,1
43,recent,1
44,prediction,2
45,remained,1
46,csiro,1
47,corlis,1
48,greek,1
49,institute,4
50,robert,2
51,true,1
52,invented,1
53,referring,2
54,plate,2
55,investigates,1
56,north,2
57,humans,1
58,physical,6
59,winds,1
60,paradigm,1
61,atlantic,4
62,cause,1
63,allowed,1
64,temperature,4
65,floating,1
66,sciences,1
67,context,1
68,johnson,1
69,frozen,1
70,information,2
71,geology,5
72,program,1
73,compensation,1
74,evaporation,1
75,discovered,2
76,aristotle,1
77,known,4
78,reflect,1
79,created,1
80,related,1
81,took,1
82,element,1
83,small,1
84,characteristics,1
85,event,2
86,hole,1
87,continued,1
88,hope,1
89,calcium,2
90,mountain,1
91,cmar,1
92,main,1
93,diverse,1
94,louis,1
95,paper,1
96,unclear,1
97,advanced,1
98,started,1
99,ponce,1
100,stress,1
101,undertook,1
102,private,1
103,century,3
104,large,1
105,geologic,1
106,niño,2
107,distributed,1
108,discipline,1
109,hammond,1
110,thermohaline,1
111,time,1
112,measurements,2
113,earths,1
114,ocean,38
115,benjamin,1
116,explorers,1
117,tectonics,2
118,cape,1
119,later,1
120,branch,1
121,nations,2
122,mixing,1
123,oceanographers,1
124,idea,1
125,strabo,1
126,allow,2
127,linked,2
128,james,3
129,ὠκεανός,1
130,carbon,3
131,decrease,1
132,various,1
133,seas,2
134,sedimentary,1
