,term,cnt
0,ksidra,1
1,summer,1
2,proposals,2
3,middle,1
4,error,1
5,entitled,1
6,phenomenon,1
7,multiples,5
8,respect,1
9,expressed,1
10,national,2
11,dates,2
12,solar,5
13,length,6
14,initiated,1
15,alternating,2
16,approximation,1
17,person,4
18,intercalated,4
19,letters,2
20,modification,1
21,specific,1
22,drift,2
23,kalendae,1
24,second,6
25,rùnèryuè,1
26,double,1
27,years,48
28,pridie,1
29,shift,1
30,france,1
31,sadie,1
32,mean,1
33,structure,1
34,seasons,2
35,celebrate,1
36,commencement,2
37,technically,1
38,monday,3
39,considered,2
40,instead,2
41,revised,5
42,signifying,3
43,greek,1
44,centurial,1
45,calculations,1
46,proleptic,1
47,gregorian,21
48,pre-reformation,1
49,nonae,1
50,removing,1
51,intervals,1
52,china,1
53,vice,1
54,twice,1
55,convert,1
56,muslim,1
57,example,5
58,starting,2
59,hijra,1
60,implies,1
61,complicated,1
62,usual,1
63,lawful,1
64,fifth,2
65,claims,1
66,week,8
67,festival,1
68,date,6
69,places,1
70,easter,2
71,known,5
72,unlike,1
73,sabbath,3
74,ensures,1
75,related,1
76,longer,3
77,pirate,1
78,order,3
79,diwali,1
80,felten,1
81,event,1
82,originated,1
83,syzygies,1
84,continued,1
85,lacking,1
86,simply,1
87,abraham,1
88,believed,1
89,kong,1
90,existing,1
91,approximates,1
92,thai,1
93,started,1
94,drifting,1
95,ordinance,1
96,lunation,1
97,regular,4
98,century,5
99,claimed,1
100,turns,1
101,inserting,1
102,distributed,1
103,ante,3
104,time,7
105,decemvirs,1
106,additional,2
107,earths,1
108,comes,1
109,universal,1
110,advantage,1
111,discovers,1
112,holy,1
113,pseudocode,1
114,weekly,1
115,looking,1
116,later,2
117,observational,1
118,remaining,2
119,refuses,1
120,nones,1
121,attains,1
122,commence,2
123,accurate,1
124,case,1
125,ends,2
126,design,1
127,months,10
128,legal,5
129,achieves,1
130,julius,1
131,idus,1
132,isaac,1
133,weeks,1
134,traditional,1
135,beginning,3
136,simplified,2
137,cambodia,1
138,observed,3
139,combinations,1
140,romans,2
141,friday,8
142,extending,1
143,vigil,1
144,scheme,1
145,ending,2
146,mainland,1
147,buddhist,2
148,advances,1
149,practice,3
150,notation,1
151,julian,9
152,dropped,1
153,relation,1
154,minutes,1
155,located,1
156,fall,2
157,depend,1
158,serve,1
159,intercalating,1
160,breeches,2
161,role,1
162,pitch,1
163,mercedonius,1
164,restricting,1
165,calendar,67
166,close,4
167,march,11
168,goal,1
169,naw-rúz,1
170,bede,1
171,bengali,1
172,chaser,1
173,lanka,1
174,leave,1
175,tradition,5
176,exactly,5
177,cycle,7
178,tend,1
179,divisibility,1
180,coordinated,1
181,contained,1
182,implemented,1
183,inserted,3
184,thursday,1
185,numbered,2
186,bound,1
187,ideler,1
188,word,3
189,makes,1
