,term,cnt
0,courage,2
1,radius,1
2,position,1
3,young,1
4,eccentricity,1
5,located,2
6,discoverer,1
7,range,1
8,planet,1
9,remain,1
10,extremely,1
11,dark,1
12,confinement,1
13,relatively,1
14,include,1
15,elicer,1
16,milky,1
17,tololo,1
18,dates,1
19,enhanced,1
20,solar,1
21,primarily,1
22,telescope,3
23,edge,1
24,person,1
25,corresponds,1
26,thought,2
27,space,2
28,separation,1
29,bodies,1
30,evidenced,1
31,häfner,1
32,august,1
33,reinhold,1
34,lassell,3
35,microscopic,1
36,gottfried,1
37,stellar,1
38,observing,1
39,orbital,2
40,certainly,1
41,hubble,2
42,significantly,1
43,galle,2
44,remained,1
45,field,1
46,innermost,1
47,denser,1
48,contain,1
49,named,1
50,hubbard,1
51,faintest,1
52,september,1
53,longest,1
54,associated,1
55,rings,10
56,occultations,2
57,longitudes,2
58,occultation,1
59,structures,1
60,like,1
61,telescopes,2
62,radiation,1
63,urbain,1
64,adams,4
65,largest,1
66,jean,1
67,interamerican,1
68,arcs,9
69,vilas,1
70,pronounced,1
71,means,1
72,william,2
73,paris,1
74,manfroid,1
75,rarer,1
76,backlit,1
77,visible,1
78,bouchet,1
79,distinct,1
80,imaged,1
81,detection,1
82,program,2
83,processed,1
84,plateau,1
85,images,1
86,estimated,1
87,triton,1
88,liberté,1
89,normal,1
90,fraternité,2
91,parameter,1
92,discovered,2
93,revealed,1
94,known,2
95,brightest,3
96,moving,1
97,neptunes,4
98,small,1
99,flyby,1
100,seen,1
101,optical,1
102,similar,1
103,chile,1
104,parts,1
105,mark,1
106,possible,1
107,dust,3
108,moon,1
109,owing,1
110,concentrations,1
111,neptunian,2
112,resolved,1
113,model,1
114,micrometer-sized,1
115,significant,1
116,power,1
117,bruno,1
118,organic,1
119,patrice,1
120,clumpiness,1
121,investigated,1
122,verrier,3
123,large,1
124,voyager,3
125,larger,1
126,égalité,2
127,time,1
128,ring,15
129,quantity,1
130,elements,1
131,peak,1
132,stable,1
133,later,1
134,suggested,1
135,typical,1
136,ground-based,2
137,uranus,3
138,possesses,1
139,material,1
140,cross-section,1
141,broadest,1
142,depths,1
143,silla,1
144,quite,1
145,outer,2
146,stars,1
147,spacecrafts,1
148,question,1
149,likely,1
150,consist,1
151,neptune,10
152,principal,1
153,near,2
154,highest,1
155,observatory,3
156,probably,1
157,sicardy,1
158,resonance,1
159,resolution,2
160,proposed,1
161,called,1
162,resulted,2
163,brightness,2
164,mention,1
165,predicted,1
166,fraction,1
167,detected,1
168,voyagers,1
169,brahic,1
170,approximately,1
171,area,1
172,unexplained,1
173,fly-by,1
174,clumps,2
175,johann,1
176,compounds,1
177,cerro,1
178,wide,1
179,earth-based,1
180,andré,1
181,advances,1
182,light-gathering,1
183,co-rotational,1
