,term,cnt
0,located,1
1,juan,1
2,trending,1
3,runs,1
4,collision,1
5,antarctic,1
6,basin,1
7,peruchile,1
8,strange,1
9,mid-oceanic,1
10,formed,1
11,studied,1
12,subducts,1
13,oceanic,2
14,sulfide,1
15,crust,3
16,deposits,1
17,separates,1
18,triple,1
19,westward,1
20,point,1
21,andes,1
22,volcanoes,2
23,southern,4
24,away,1
25,zealand,1
26,american,5
27,forming,1
28,northern,1
29,rivera,1
30,east,8
31,rift,1
32,extensively,1
33,originating,1
34,california,4
35,black,1
36,plates,1
37,salton,1
38,plate,11
39,nazca,2
40,north,4
41,undefined,1
42,boundary,1
43,antarctica,1
44,massive,1
45,fastest-spreading,1
46,newly,1
47,mid-ocean,1
48,rate,1
49,pacific,8
50,microplates,1
51,smokers,1
52,zone,1
53,rise,9
54,indian,1
55,rifted,1
56,subducted,1
57,divergent,1
58,coast,1
59,easter,2
60,discovered,1
61,trench,1
62,moving,3
63,central,1
64,chile,2
65,belt,1
66,volcanogenic,1
67,tectonic,1
68,floor,2
69,intermingled,1
70,island,2
71,merges,1
72,eastward,1
73,extension,1
74,northward,1
75,earths,1
76,ocean,2
77,termination,1
78,junction,1
79,continental,1
80,deep-water,1
81,direct,1
82,america,1
83,west,1
84,gulf,2
85,eastern,1
86,near,2
87,meets,1
88,creatures,1
89,sections,1
90,results,1
91,hydrothermal,1
92,cocos,2
93,baja,1
94,south,5
95,meet,1
96,macquarie,1
97,stretch,1
98,called,2
99,vents,2
100,area,1
101,southeast,1
102,ridge,4
103,peninsula,1
104,pacific-antarctic,1
105,mexico,1
106,fernandez,1
107,referred,1
