,term,cnt
0,having,4
1,features,1
2,particularly,6
3,explicitly,1
4,properties,3
5,expressed,1
6,need,1
7,post-crastinal,1
8,ancient,1
9,carry,1
10,person,3
11,special,1
12,specific,2
13,point,2
14,stem,2
15,dyirbal,1
16,spelled,1
17,covering,1
18,prospective,1
19,contraction,1
20,second,1
21,posterior,2
22,bantu,1
23,analysis,1
24,inflected,2
25,recent,3
26,andor,1
27,adverbials,1
28,hand,1
29,relative,13
30,considered,4
31,greek,1
32,referring,1
33,sang,1
34,goes,1
35,active,1
36,example,4
37,construction,1
38,context,2
39,non-formal,1
40,information,8
41,time-referential,1
42,complete,2
43,nominal,1
44,auxiliaries,2
45,places,1
46,non-past,8
47,rarely,1
48,indo-european,1
49,make,2
50,modality,2
51,plus,1
52,reflect,1
53,motion,1
54,verbs,24
55,pre-hesternal,1
56,longer,1
57,grammarians,1
58,auxiliary,8
59,family,2
60,german,3
61,event,2
62,perceived,1
63,simply,2
64,grammaticalizes,1
65,persistive,1
66,lexical,1
67,distinguished,1
68,cubeo,1
69,main,3
70,multi-word,2
71,ongoing,4
72,uncompleted,1
73,regular,1
74,marking,1
75,latin,10
76,large,1
77,quam,1
78,time,25
79,additional,6
80,prior,1
81,comes,1
82,relevance,1
83,source,1
84,completed,1
85,perfectum,2
86,indicative,3
87,case,6
88,tens,1
89,various,2
90,traditional,2
91,reduplication,1
92,luganda,2
93,combinations,4
94,separate,1
95,lagaw,2
96,affixes,1
97,praesens,1
98,specificity,1
99,denote,1
100,ending,1
101,apart,1
102,conveyed,4
103,future,36
104,depend,1
105,walked,1
106,pluperfect,4
107,volition,1
108,theory,1
109,separately,2
110,imperfective,10
111,words,1
112,incorporation,1
113,denotes,1
114,formed,2
115,distinctions,3
116,complement,1
117,habitual,1
118,action,6
119,negative,1
120,early,1
121,asian,1
122,bound,2
123,nouns,1
124,historical,4
125,spatial,1
126,certain,2
127,spoken,1
128,voice,2
129,described,6
130,inflecting,1
131,animacy,1
132,associated,1
133,meaning,5
134,past,60
135,today,2
136,surface,1
137,means,2
138,deliberate,1
139,aspect,25
140,proclitic,1
141,making,1
142,imperfectum,1
143,modifications,1
144,grammar,3
145,meanings,1
146,specifically,1
147,markedness,1
148,implicitly,1
149,relativized,1
150,particular,4
151,single,1
152,valency,1
153,conjugate,1
154,romance,1
155,patient,1
156,polarity,1
157,languages,34
158,manifestation,1
159,verbal,1
160,six-tense,1
161,refer,5
162,categories,5
163,convey,1
164,usually,2
165,examples,2
166,simple,6
167,affixed,2
168,involving,1
169,forms,26
170,classical,2
171,modern,5
172,uncertainty,1
173,went,1
174,anterior,3
175,regarded,1
176,modal,2
177,denoted,1
178,states,1
179,frequently,1
180,suffix,2
181,australia,1
182,uralic,1
183,category,6
184,represent,1
185,translating,1
186,combined,2
187,elements,1
188,walks,1
189,greater,2
190,produce,2
191,lack,2
192,implied,1
193,descriptions,1
194,greenlandic,1
195,indo-iranian,1
196,conjugation,6
197,near,2
198,perfective,10
199,class,1
200,possession,1
201,south,1
202,shall,1
203,tenseaspect,2
204,called,8
205,situation,1
206,morphologically,1
207,present,28
208,futurus,2
209,tenseaspectmood,3
210,established,1
211,archaisation,1
212,application,1
213,praeteritum,2
214,morphological,6
215,burmese,1
216,intrinsically,1
217,expressions,2
218,supplement,1
219,endings,1
220,agreement,2
221,position,1
222,speaking,1
223,tense,48
224,simpleperfectiveimperfective,1
225,includes,1
226,three-way,2
227,include,6
228,closely,1
229,identify,1
230,celtic,1
231,irish,4
232,sings,1
233,argument,1
234,following,1
235,consequently,1
236,passive,2
237,reinforce,1
238,combination,3
239,term,2
240,types,2
241,preterite,1
242,russian,1
243,definiteness,1
244,hodiernal,2
245,conjugated,3
246,provided,1
247,conditional,4
248,state,5
249,east,1
250,imperfect,6
251,hungarian,2
252,absolute,1
253,kalaw,2
254,fuller,1
255,nonpast,2
256,series,1
257,subject,3
258,produced,2
259,phrases,1
260,arabic,1
261,passé,6
262,nonetheless,1
263,standard,1
264,understood,1
265,used,10
266,finnish,1
267,honorifics,1
268,composé,4
269,section,1
270,prefix,1
271,relates,1
272,connected,1
273,perfect,17
274,manifested,2
275,involve,2
276,persian,1
277,clitics,1
278,seen,1
279,perfekt,2
280,normally,1
281,sequence,1
282,clusivity,1
283,infinitive,1
284,tempora,1
285,yesterday,1
286,monks,1
287,continuous,4
288,object,1
289,combine,3
290,linguistic,1
291,germanic,2
292,gender,2
293,aspects,5
294,korean,1
295,past-in-the-past,1
296,target,1
297,relationship,1
298,european,1
299,verb,16
300,inflection,2
301,opposed,1
302,strong,1
303,choice,1
304,transitivity,1
305,tempus,2
306,discourse,1
307,cases,3
308,feature,2
309,table,1
310,species,1
311,indicated,2
312,systems,2
313,teaching,2
314,usage,1
315,events,3
316,imperfekt,1
317,mood,10
318,adjunct,1
319,amazonian,1
320,aorist,4
321,tenses,39
322,materials,1
323,leaves,1
324,contrast,4
325,situations,1
326,tensed,2
327,nonfuture,2
328,analyses,1
329,different,4
330,formal,1
331,descendants,1
332,including,1
333,referred,2
334,japanese,2
335,actions,2
336,representing,3
337,articles,1
338,obligation,1
339,bulgarian,2
340,moods,3
341,influenced,1
342,traditionally,2
343,given,1
344,variety,4
345,proto-indo-european,1
346,distinction,2
347,aspectual,7
348,basic,3
349,group,1
350,indicate,1
351,predicate,1
352,contexts,4
353,plural,1
354,entangled,1
355,english,16
356,members,1
357,mentioned,1
358,ablaut-modified,1
359,developed,1
360,study,1
361,terminology,1
362,slavic,2
363,agent,1
364,times,1
365,appears,1
366,replaced,1
367,grammars,1
368,formation,1
369,focus,1
370,like,1
371,retain,1
372,temps,1
373,ablaut,2
374,containing,1
375,change,1
376,uses,3
377,mirativity,1
378,said,1
379,conjunction,1
380,imperative,1
381,subjunctive,3
382,details,3
383,future-in-the-past,3
384,language,13
385,distinct,1
386,tanzania,1
387,progressive,1
388,place,1
389,comparison,1
390,remote,6
391,grammatical,3
392,regards,1
393,french,7
394,compound,4
395,respectively,1
396,alternatively,1
397,secondary,1
398,similar,1
399,necessarily,1
400,mark,2
401,necessary,1
402,possible,2
403,entail,1
404,analysed,3
405,greatly,1
406,moment,2
407,mwera,1
408,evidentiality,2
409,shown,1
410,merely,1
411,reference,9
412,chiefly,1
413,proper,1
414,quechua,1
415,pertaining,1
416,topic,1
417,contrasts,1
418,markers,3
419,applied,1
420,telicity,1
421,tenseless,4
422,consideration,2
423,constructions,8
424,noun,2
425,suggested,1
426,number,3
427,generally,2
428,served,1
429,repeated,2
430,chinese,5
431,manifest,1
432,references,3
433,express,7
434,commonly,2
435,stative,1
436,todaynear,1
437,participle,3
438,similarly,2
439,-century,1
440,turkish,1
441,finer,2
