,term,cnt
0,distance,1
1,middle,1
2,nights,2
3,phenomenon,2
4,respect,2
5,morning,1
6,expressed,1
7,dates,1
8,disks,1
9,solar,5
10,length,5
11,little,2
12,account,1
13,movement,1
14,center,6
15,tilted,1
16,special,1
17,point,14
18,significance,1
19,drift,1
20,line,3
21,aphelion,1
22,second,1
23,appropriate,1
24,moderate,1
25,years,2
26,shift,2
27,immense,1
28,mean,2
29,curve,1
30,sunset,4
31,seasons,4
32,satellites,2
33,latitudes,2
34,view,1
35,recent,1
36,varies,1
37,culminates,2
38,relative,1
39,considered,3
40,daytime,2
41,instead,1
42,presented,1
43,size,2
44,refracts,1
45,tree,1
46,temporarily,1
47,cetus,1
48,true,3
49,gregorian,1
50,referring,3
51,aries,3
52,radiation,1
53,intervals,1
54,strictly,1
55,north,8
56,humans,1
57,vice,2
58,twice,1
59,appear,2
60,mythology,1
61,goes,1
62,communications,1
63,example,2
64,context,1
65,limb,4
66,celestial,8
67,equally,1
68,reception,1
69,geocentric,1
70,valley,1
71,date,4
72,places,2
73,effects,2
74,directions,1
75,allocated,1
76,easter,3
77,make,1
78,equi,1
79,motion,1
80,moving,4
81,related,1
82,longer,6
83,planets,1
84,mass,1
85,autumnal,4
86,event,1
87,tables,1
88,points,1
89,origin,3
90,mountain,1
91,anjana,1
92,capricornus,1
93,believed,1
94,height,1
95,disc,1
96,significant,1
97,dawn,1
98,latin,2
99,passed,4
100,induced,1
101,time,18
102,earths,5
103,ring,1
104,comes,1
105,ocean,1
106,universal,1
107,later,4
108,concerning,1
109,creating,1
110,commence,1
111,light,3
112,entering,1
113,months,1
114,julius,1
115,weeks,1
116,traditional,1
117,overhead,1
118,beginning,2
119,statements,1
120,degrade,1
121,geostationary,1
122,assumed,2
123,boundaries,1
124,depending,1
125,pisces,2
126,ambiguous,1
127,culmination,1
128,discrepancy,1
129,constellation,1
130,equation,1
131,higher,1
132,julian,3
133,cultures,2
134,longitude,5
135,centre,2
136,conventionally,1
137,frequency,1
138,plane,2
139,beam-width,2
140,dome,1
141,minutes,8
142,reality,1
143,located,1
144,fall,5
145,depend,1
146,circuit,1
147,fairies,1
148,reversed,1
149,diameter,2
150,words,1
151,southward,4
152,calendar,9
153,numbers,1
154,pictures,1
155,march,16
156,antenna,3
157,exactly,5
158,arrows,1
159,early,1
160,effect,3
161,august,1
162,closer,1
163,word,3
164,makes,1
165,occurs,9
166,affected,1
167,orbital,1
168,northern,6
169,poles,3
170,described,1
171,right,7
172,conform,1
173,meaning,2
174,instant,1
175,atop,1
176,formula,1
177,roughly,1
178,currently,1
179,means,3
180,obstacles,1
181,absence,1
182,visible,2
183,tilt,1
184,disrupt,1
185,night-time,1
186,theoretically,1
187,drifted,2
188,july,1
189,official,1
190,sidereal,2
191,zone,2
192,colloquial,1
193,rise,1
194,satellite,1
195,observer,4
196,long,1
197,path,1
198,western,1
199,depictions,1
200,narrower,1
201,addition,1
202,usually,1
203,dramatic,1
204,edicts,1
205,taurus,1
206,equinox,54
207,modern,2
208,songkran,1
209,create,1
210,regarded,1
211,sunshine,2
212,festivals,1
213,clearer,1
214,island,1
215,reasons,2
216,xiii,1
217,spring,8
218,start,3
219,derived,1
220,power,1
221,variable,2
222,sunlight,3
223,areas,1
224,zero,3
225,lady,1
226,observers,3
227,versa,2
228,northward,4
229,combined,2
230,april,1
231,omit,1
232,lack,1
233,autumn,4
234,harvest,1
235,specify,1
236,near,5
237,islamic,1
238,iranian,1
239,aequinoctium,1
240,definition,2
241,south,8
242,shorter,3
243,overload,1
244,called,1
245,follows,1
246,rotational,1
247,sphere,2
248,gregory,1
249,established,1
250,equilux,1
251,london,1
252,precession,3
253,sunrisesunset,1
254,nouroz,1
255,ambiguity,2
256,minute,1
257,defined,3
258,position,4
259,speaking,1
260,sunrise,5
261,includes,1
262,hours,7
263,saturn,2
264,june,2
265,solstices,1
266,avoid,1
267,virgo,2
268,following,1
269,spends,1
270,space,2
271,continue,1
272,term,1
273,fixed,1
274,angle,1
275,diurnal,1
276,nowruz,1
277,southern,6
278,arrow,6
279,atmosphere,1
280,changes,2
281,east,6
282,solstice,5
283,astrology,1
284,rises,7
285,angular,1
286,broad,1
287,subsolar,2
288,local,3
289,genitive,1
290,nighttime,1
291,used,5
292,understood,1
293,earth,14
294,left,4
295,smooth,1
296,sitting,1
297,horizon,10
298,swing,1
299,hebrew,1
300,constellations,2
301,exact,4
302,equator,11
303,hemisphere,9
304,ecliptic,8
305,rays,2
306,white,1
307,persian,1
308,seen,6
309,planetshine,1
310,short,1
311,terminator,1
312,direction,2
313,declination,1
314,upper,6
315,occur,3
316,corner,1
317,likewise,1
318,probe,1
319,depicted,2
320,passes,1
321,astronomical,2
322,object,1
323,equal,8
324,combine,1
325,current,1
326,increases,1
327,picturing,1
328,speed,2
329,cantabrian,1
330,vary,1
331,durations,2
332,spectrum,1
333,axis,2
334,duration,3
335,semidiameter,1
336,latinate,1
337,hour,3
338,discussion,1
339,aequus,1
340,occurred,1
341,instants,1
342,band,1
343,location,4
344,occurrence,1
345,disambiguation,1
346,cardinal,1
347,cases,1
348,begins,1
349,table,1
350,pass,3
351,equal-day-night,1
352,coordinates,1
353,indicated,1
354,nicaea,1
355,period,2
356,systems,2
357,approximately,1
358,illumination,1
359,diagram,3
360,raised,1
361,half-year,2
362,causes,3
363,tangent,1
364,periods,1
365,illuminated,1
366,based,1
367,names,5
368,radius,1
369,vernal,13
370,range,1
371,planet,2
372,specifying,1
373,given,1
374,hemispheres,3
375,perpendicular,1
376,tropics,1
377,setting,2
378,tropical,2
379,result,3
380,edge,2
381,directly,2
382,celebrated,1
383,accordingly,1
384,receive,1
385,aquarius,1
386,month,1
387,taken,1
388,noctis,1
389,coordinate,4
390,ascension,2
391,libra,2
392,signs,1
393,times,4
394,orbit,1
395,handful,1
396,september,8
397,appears,2
398,unparallel,1
399,disk,4
400,chose,1
401,factors,1
402,suns,6
403,leap,1
404,calendars,1
405,year,17
406,apparent,4
407,change,2
408,uses,1
409,reaches,1
410,outage,2
411,ghost,1
412,astrological,1
413,astronomers,1
414,oscillate,1
415,degrees,1
416,sets,4
417,experiences,1
418,unambiguously,1
419,rate,1
420,crosses,4
421,facing,1
422,taking,1
423,circuits,1
424,windows,1
425,place,1
426,december,2
427,tracks,1
428,wanted,2
429,transition,1
430,night,11
431,sees,1
432,half,1
433,standing,1
434,slightly,1
435,daylight,3
436,solar-based,1
437,respectively,1
438,edge-on,1
439,greatest,1
440,equinoctial,2
441,moon,1
442,pope,2
443,differs,1
444,latitude,2
445,reference,3
446,disruption,1
447,green,1
448,larger,3
449,rotation,1
450,number,2
451,zones,1
452,backwards,1
453,darkness,1
454,twilight,2
455,temporary,1
456,stars,1
457,west,4
458,possibility,1
459,eastern,1
460,multiple,1
461,meridian,2
462,atmospheric,3
463,earlier,2
464,commonly,1
465,turn,1
466,council,1
467,equinoxes,12
468,cassini,1
469,sign,1
470,days,6
471,shifts,1
472,equatorial,3
473,ground-station,1
474,locations,1
475,note,1
476,dusk,1
477,refraction,3
478,noise,1
479,centered,2
480,ground,2
481,shorten,1
482,stations,1
483,caesar,1
484,pole,1
485,numbering,1
486,marks,3
