,term,cnt
0,monastery,1
1,pronoun,1
2,seiior,2
3,prevoire,1
4,poet,1
5,pure,1
6,middle,11
7,fīlius,1
8,features,1
9,desjun,2
10,particularly,1
11,consistent,1
12,remain,2
13,extremely,1
14,shepherd,1
15,jaraisonaraisnier,1
16,seniōrem,1
17,variant,1
18,invent,1
19,devoicing,1
20,songs,2
21,unlikely,1
22,earliest,8
23,nostro,1
24,ways,2
25,ancient,1
26,corre,1
27,length,1
28,non-finite,5
29,alternating,2
30,third-declension,2
31,little,1
32,late,6
33,bergier,1
34,continuum,2
35,dois,1
36,iiic,1
37,derives,2
38,inherited,1
39,constantly,1
40,adverbs,1
41,genres,1
42,brought,1
43,native,1
44,dialect,6
45,especially,1
46,stem,5
47,spelled,1
48,nasalized,2
49,franks,2
50,modelled,1
51,areal,2
52,parallel,1
53,second,3
54,chivalric,1
55,priz,1
56,strasbourg,2
57,vicīnus,1
58,shift,6
59,france,13
60,substantially,1
61,adratiōnō,1
62,structure,1
63,centering,1
64,voluerat,1
65,declined,3
66,joie,1
67,hand,2
68,remained,2
69,cluster,2
70,clear,1
71,eliminate,1
72,considered,1
73,iiia,1
74,instead,4
75,contar,1
76,disappear,1
77,continues,2
78,entered,1
79,greek,1
80,replacement,1
81,complex,1
82,cativo,1
83,caballos,1
84,dist,1
85,bar-sur-aube,1
86,deformations,1
87,debated,1
88,survived,3
89,poems,1
90,ultimately,2
91,irregularities,1
92,disner,1
93,channel,2
94,house,2
95,appear,1
96,paradigm,3
97,active,1
98,example,10
99,bounty,1
100,wire,1
101,paving,1
102,adhérerjadhère,1
103,genre,1
104,gaulish-language,1
105,moribund,1
106,complicated,1
107,crusader,1
108,adiūtō,1
109,hall,1
110,adventure,1
111,complete,1
112,eventually,2
113,champenois,1
114,student,1
115,reign,1
116,jeûner,1
117,date,1
118,directions,1
119,lavem,1
120,messire,1
121,bleue,1
122,carried,1
123,deraisonderaisnier,1
124,known,3
125,inaugurated,1
126,rhymed,2
127,unlike,1
