,term,cnt
0,plane,12
1,position,1
2,dragons,2
3,pull,1
4,include,1
5,specifying,1
6,formed,1
7,gravitational,1
8,solar,1
9,perpendicular,1
10,euler,1
11,versus,1
12,contained,1
13,eclipse,1
14,early,1
15,westward,1
16,taken,1
17,line,4
18,years,1
19,performing,1
20,orbital,3
21,precess,1
22,times,1
23,symbol,2
24,orbit,8
25,caput,1
26,non-inclined,3
27,node,11
28,arabic,1
29,common,1
30,north,2
31,objects,1
32,circle,1
33,used,1
34,angles,1
35,earth,1
36,intersection,1
37,nodes,8
38,descending,3
39,specifically,1
40,complete,1
41,crosses,1
42,geocentric,2
43,observer,1
44,equator,1
45,ecliptic,4
46,night,1
47,cauda,1
48,parameters,1
49,known,1
50,respectively,1
51,points,2
52,modern,1
53,direction,1
54,primary,2
55,distinguished,1
56,moon,2
57,moves,2
58,ascending,5
59,passes,1
60,planes,1
61,object,1
62,reference,8
63,spring,1
64,equal,1
65,latin,2
66,heliocentric,2
67,earths,3
68,elements,1
69,duration,1
70,outside,1
71,chap,1
72,case,2
73,autumn,1
74,unicode,2
75,head,1
76,medieval,1
77,orbits,3
78,gradually,1
79,south,2
80,equinoxes,1
81,inclination,1
82,inclined,1
83,called,7
84,al-jauzahar,1
85,draconis,2
86,days,1
87,equatorial,3
88,approximately,1
89,tail,1
90,lunar,1
91,orbiting,1
92,causes,1
93,longitude,3
94,defined,1
95,yields,1
