,term,cnt
0,buddhism,1
1,aristotle,2
2,eternity,8
3,outside,1
4,motion,1
5,considered,1
6,loved,1
7,aeon,1
8,armenian,1
9,future,1
10,infinity,1
11,regard,1
12,symbol,2
13,chronology,1
14,presentism,1
15,produces,1
16,eternal,3
17,indeterminately,1
18,finitism,1
19,philosophy,2
20,forms,1
21,platonic,1
22,classical,1
23,past,1
24,like,1
25,gradient,1
26,common,1
27,gods,1
28,endure,1
29,beginning,1
30,mover,1
31,sempiternity,1
32,knot,1
33,temporal,1
34,concept,2
35,understood,1
36,used,1
37,eternally,1
38,important,1
39,definition,1
40,variations,1
41,philosophical,1
42,corresponds,1
43,sign,1
44,metaphysics,1
45,return,1
46,period,1
47,ouroboros,1
48,tibetan,1
49,said,1
50,perception,1
51,epoch,1
52,endless,1
53,exists,1
54,synergy,1
55,aristotles,1
56,infinite,1
57,religions,1
58,planck,1
59,eternalism,1
60,time,4
61,long,1
62,total,1
63,colloquial,1
64,immutability,1
65,argued,1
66,universe,1
67,unmoved,1
68,essential,1
69,natural,1
70,duration,1
71,defined,1
72,parlance,1
73,cosmos,2
