,term,cnt
0,trod,1
1,dean,1
2,mormondoctrine,1
3,owns,1
4,particularly,1
5,six-year,1
6,textbooks,1
7,manual,1
8,snow,1
9,ancient,1
10,building,3
11,money-losing,1
12,six-volume,1
13,late,2
14,brought,1
15,letters,1
16,center,6
17,founder,1
18,marvelous,1
19,kurt,1
20,singer,1
21,rental,2
22,covering,1
23,for-profit,3
24,years,1
25,dallyn,1
26,deity,1
27,tape,2
28,mean,1
29,electronic,2
30,covenant,1
31,remained,2
32,news,12
33,selection,1
34,hinckley,1
35,celebrating,1
36,temporarily,1
37,translation,1
38,artists,1
39,review,1
40,beehive,1
41,rings,1
42,robert,1
43,poems,1
44,sales,1
45,excellent,1
46,tourist,1
47,approach,2
48,vice,1
49,house,2
50,subsidiaries,1
51,smith,5
52,communications,1
53,wards,1
54,retail,2
55,allowed,1
56,winning,1
57,creek,2
58,lines,1
59,jack,1
60,competitive,1
61,sound,1
62,nibley,1
63,program,1
64,editions,4
65,employees,3
66,deseret,63
67,valley,1
68,lds-related,1
69,shortly,1
70,bell,1
71,cents,1
72,make,2
73,ledgers,1
74,crossroads,1
75,reflect,1
76,known,2
77,motion,3
78,scripture,1
79,created,1
80,supplies,1
81,conferences,3
82,order,1
83,family,1
84,square,2
85,bible,3
86,trays,1
87,continued,1
88,photographic,1
89,publishing,6
90,mountain,3
91,ecclesiastical,1
92,cardall,1
93,mormon,8
94,believed,1
95,conducts,1
96,paper,2
97,lds-specific,1
98,business,3
99,decor,1
100,acquiring,1
101,significant,1
102,regular,1
103,announced,1
104,aimed,1
105,county,1
106,large,1
107,educating,1
108,distributed,3
109,time,2
110,additional,1
111,prior,1
112,trace,1
113,sits,1
114,ranging,1
115,honeybee,1
116,branch,2
117,remaining,1
118,juvenile,2
119,texts,1
120,typesetting,1
121,writings,2
122,completed,1
123,entering,1
124,handmade,2
125,educational,1
126,union,8
127,james,7
128,mercantile,1
129,charly,1
130,management,5
131,weeks,2
132,censorship,1
133,publications,2
134,president,4
135,ownership,2
136,needs,1
137,excel,6
138,site,2
139,temple,3
140,sons,6
141,david,2
142,catalogs,1
143,boise,1
144,gradually,1
145,plaza,1
146,separate,1
147,unable,1
148,richards,1
149,city,9
150,labels,2
151,outlines,1
152,knight,1
153,idɛzəˈrɛt,1
154,recording,1
155,pearl,2
156,children,1
157,expanded,4
158,holzapfel,1
159,christ,7
160,mormons,2
161,handicraft,1
162,willard,1
163,dropped,1
164,latter-day,9
165,minutes,1
166,located,1
167,fall,1
168,relatively,1
169,womens,2
170,media,1
171,formed,1
172,cinema,2
173,fielding,1
174,pictures,1
175,requested,1
176,hands-off,1
177,baker,1
178,exactly,1
179,randal,1
180,embryo,1
181,outfit,1
182,coordinated,2
183,early,1
184,road,1
185,explaining,1
186,discontinue,1
187,northridge,1
188,subsequently,1
189,mcconkie,1
190,dedicated,1
191,word,1
192,direct-to-customer,1
193,supplied,1
194,gladys,1
195,oaks,1
196,cope,1
197,josephine,1
198,digest,1
199,maxwell,1
200,priesthood,1
201,crafts,2
202,subsidiary,1
203,corporation,5
204,nature,1
205,non-mormons,1
206,utah,9
207,handicrafta,1
208,seeking,1
209,reach,1
210,mercy,1
211,self-help,1
212,expanding,1
213,paid,1
214,ties,1
215,mclean,1
216,incorporated,1
217,handled,1
218,sold,3
219,companies,1
220,penrose,1
221,picture,2
222,releases,1
223,responsible,1
224,king,2
225,accept,1
226,organizations,1
227,threatened,1
228,salt,8
229,closed,1
230,jessee,1
231,lake,8
232,tabernacle,1
233,single,1
234,publicly,1
235,july,1
236,official,1
237,privately,1
238,eliza,1
239,rise,1
240,roberts,5
241,theology,1
242,soon,1
243,cannon,13
244,focused,1
245,western,2
246,wise,3
247,manages,1
248,draw,1
249,paul,1
250,debt,1
251,addition,1
252,successful,1
253,mckay,1
254,jeff,1
255,provides,1
256,parts,1
257,book,51
258,albums,2
259,self-published,1
260,distribution,5
261,modern,1
262,headquarters,4
263,life,4
264,went,1
265,ogden,2
266,sheri,1
267,bonneville,1
268,published,5
269,website,1
270,marriott,2
271,grand,1
272,redevelopment,1
273,merchandise,1
274,records,4
275,shadow,3
276,relief,2
277,bayles,1
278,alex,1
279,gospelinkcom,1
280,history,5
281,roots,2
282,charles,1
283,clark,1
284,manuscripts,1
285,states,3
286,nauvoo,1
287,food,1
288,taylor,1
289,hugh,1
290,combined,1
291,questions,1
292,publisher,2
293,mail,1
294,stephen,1
295,greater,1
296,introduced,2
297,april,2
298,sermons,1
299,authority,1
300,testament,1
301,lion,1
302,interests,1
303,thayne,1
304,church,20
305,non-profit,1
306,comprehensive,2
307,sole,1
308,press,5
309,near,1
310,-old,1
311,organization,1
312,azevedo,1
313,orange,1
314,projectors,1
315,emphasizes,1
316,brand,2
317,issue,1
318,downtown,3
319,cannons,1
320,established,3
321,readers,1
322,george,5
323,maintain,1
324,cambridge,1
325,howell,1
326,works,2
327,wyoming,1
328,human,1
329,recorded,1
330,rexburg,3
331,items,3
332,young,3
333,covenantspearl,1
334,nearly,2
335,disbanded,1
336,include,1
337,home,1
338,centralized,1
339,allen,1
340,subscriptions,1
341,corporate,2
342,primarily,1
343,spiritual,1
344,stan,1
345,music,3
346,michael,1
347,divided,1
348,activities,1
349,space,1
350,international,1
351,mall,5
352,eclipse,1
353,combination,3
354,entertainment,2
355,stores,5
356,full-color,1
357,novels,1
358,periodical,1
359,supply,1
360,contributions,1
361,antecedent,1
362,bids,1
363,purchased,3
364,operations,1
365,conference,3
366,marketing,2
367,state,1
368,differences,1
369,guide,1
370,talmage,3
371,assets,1
372,promised,1
373,filmed,1
374,series,1
375,weyland,1
376,saints,7
377,neal,1
378,e-mail,1
379,company,9
380,produced,2
381,hilary,1
382,sponsored,1
383,inventory,1
384,editor,2
385,entities,2
386,school,11
387,sell,1
388,standard,1
389,largest,1
390,doyle,1
391,osmond,1
392,used,1
393,important,3
394,fiction,3
395,reuben,1
396,river,1
397,leonard,2
398,held,2
399,distribute,1
400,anniversary,1
401,great,3
402,pantry,1
403,gospel,2
404,executive,1
405,publishes,1
406,university,2
407,offered,1
408,values,1
409,actually,1
410,secular,1
411,produces,1
412,independent,1
413,solvency,1
414,books,8
415,bookstore,16
416,simpson,1
417,idaho,6
418,market,1
419,work,2
420,constructed,1
421,manuals,1
