,term,cnt
0,summer,1
1,lebanon,1
2,secured,1
3,repeatedly,1
4,carp,1
5,national,1
6,supreme,1
7,hospital,1
8,person,1
9,little,1
10,defeated,1
11,center,1
12,allied,1
13,court,1
14,mathematics,1
15,science,1
16,covering,1
17,concentration,1
18,galego,1
19,france,1
20,american,2
21,tackle,1
22,declined,1
23,guard,1
24,news,1
25,governor,1
26,population,1
27,manor,1
28,roosevelts,1
29,rights,2
30,napoleon,1
31,turgesh,1
32,house,2
33,allowed,1
34,fight,1
35,liberal,1
36,slovenščina,1
37,winning,1
38,bolted,1
39,homes,1
40,african,1
41,stormtroopers,1
42,pump,1
43,consulate,1
44,archive,3
45,date,1
46,critically,1
47,coast,1
48,launched,1
49,philippines,1
50,lost,1
51,eesti,1
52,athletes,1
53,coup,1
54,grows,1
55,projects,2
56,bosanski,1
57,endangered,1
58,stating,1
59,preliminary,1
60,rupee,1
61,started,1
62,ideas,1
63,wikipedia-related,1
64,email,2
65,army,1
66,taft,7
67,help,1
68,latin,1
69,română,1
70,poyaisian,1
71,time,1
72,prior,1
73,comes,1
74,nurse,1
75,administration,1
76,agency,1
77,painting,3
78,completed,1
79,mõdriku,1
80,português,1
81,norsk,2
82,decrease,1
83,français,1
84,president,1
85,communication,1
86,beginning,1
87,cambodia,1
88,site,1
89,retirement,1
90,asleep,1
91,inventors,1
92,portal,1
93,kristallnacht,1
94,català,1
95,ivan,1
96,muhammad,1
97,jennings,1
98,العربية,1
99,niagara,2
100,euskara,1
101,total,1
102,improved,1
103,christ,1
104,cuba,1
105,re-election,1
106,scottish,1
107,collingwood,1
108,roosevelt,3
109,aliens,1
110,theory,1
111,arab,1
112,directory,1
113,bryan,1
114,pictures,1
115,librarians,1
116,latviešu,1
117,appointed,1
118,wilson,1
119,hosts,1
120,hoshino,1
121,vote,1
122,historical,1
123,bokmål,1
124,collection,1
125,emmanuel,1
126,village,1
127,contains,1
128,utah,1
129,emma,1
130,portals,1
131,victory,1
132,incorporated,1
133,nederlands,1
134,currently,1
135,releases,1
136,slovenčina,1
137,cedreti,1
138,rule,1
139,william,2
140,protect,1
141,trump,1
142,desk,2
143,nippon-ham,1
144,chance,1
145,tiếng,1
146,official,1
147,deaths,1
148,srpski,1
149,focused,1
150,languages,1
151,party,2
152,recently,1
153,bahasa,2
154,فارسی,1
155,simple,1
156,indians,1
157,supported,1
158,synagogues,1
159,srpskohrvatski,1
160,arts,1
161,regarded,1
162,thomas,1
163,history,1
164,measures,1
165,states,4
166,famous,1
167,start,1
168,global,1
169,areas,2
170,bath,1
171,announcements,1
172,initially,1
173,represent,1
174,questions,2
175,employment,1
176,nominate,1
177,venusian,1
178,việt,1
179,ransacked,1
180,morocco,1
181,khagan,1
182,mosul,1
183,america,1
184,church,3
185,courts,1
186,janet,1
187,non-profit,1
188,killed,1
189,press,1
190,toyo,1
191,organization,1
192,policies,1
193,paintings,1
194,русский,1
195,written,1
196,proposed,1
197,featured,2
198,called,1
199,falling,1
200,established,1
201,london,1
202,lietuvių,1
203,geography,1
204,wide,2
205,human,2
206,bulletin,1
207,compiled,1
208,schooners,1
209,hard,1
210,fighters,1
211,suomi,1
212,virtual,1
213,inès,1
214,presidential,1
215,iris,1
216,wins,1
217,battle,2
218,jobs,1
219,activities,1
220,space,1
221,goremykin,1
222,secretary,1
223,italiano,1
224,operations,1
225,photograph,1
226,state,1
227,gallery,1
228,atmosphere,1
229,east,1
230,technology,1
231,europe,1
232,updates,1
233,zimbabwean,1
234,issues,2
235,hosted,1
236,iqbals,1
237,series,4
238,manga,1
239,local,1
240,convalescent,1
241,kharistan,1
242,עברית,1
243,embassy,1
244,conservative,2
