,term,cnt
0,arguments,1
1,relation,1
2,mountains,1
3,future,1
4,speaking,1
5,theseus,1
6,child,2
7,persisting,2
8,exist,1
9,composed,1
10,theory,4
11,given,1
12,ways,1
13,endure,1
14,whilst,1
15,persistence,1
16,define,2
17,intrinsics,1
18,temporal,8
19,break,1
20,person,2
21,argue,1
22,believing,1
23,non-spatial,1
24,thought,1
25,special,1
26,souls,1
27,endurantism,1
28,line,1
29,malet,1
30,certain,1
31,claim,1
32,abstract,1
33,persist,1
34,contains,1
35,sub-groups,1
36,times,1
37,problem,2
38,subintervals,1
39,subject,2
40,chairs,1
41,true,1
42,instant,1
43,like,1
44,past,1
45,entities,1
46,intervals,1
47,believe,3
48,difficulties,1
49,talks,2
50,objects,3
51,currently,1
52,means,1
53,zimmerman,1
54,philosophical,1
55,logic,1
56,says,1
57,things,1
58,lewis,1
59,people,1
60,stuchlik,1
61,distinct,1
62,particular,2
63,identity,1
64,ship,1
65,mckinnon,1
66,mistaken,1
67,discrete,1
68,distinguish,1
69,armstrong,1
70,authors,1
71,believes,1
72,perdure,1
73,worms,1
74,debate,1
75,defining,1
76,three-dimensional,1
77,related,1
78,supporting,1
79,contemporary,1
80,elderly,2
81,universally,1
82,parts,3
83,perdurantism,7
84,perdurantists,3
85,non-humean,1
86,simply,1
87,work,2
88,according,1
89,immaterial,1
90,acknowledged,1
91,modal,1
92,enduring,1
93,continuous,1
94,gunky,2
95,advanced,1
96,traced,1
97,object,2
98,states,2
99,avoided,1
100,time,7
101,think,1
102,four-dimensionalism,1
103,accepted,1
104,identity-like,1
105,relations,2
106,ranging,1
107,four-dimensional,1
108,space-time,1
109,applies,1
110,instance,1
111,suggested,1
112,number,1
113,creating,1
114,sider,4
115,self-professed,1
116,accurate,1
117,demonstrated,1
118,survey,1
119,instants,2
120,temporary,1
121,various,1
122,possibility,1
123,interval,1
124,theorists,5
125,david,2
126,problems,2
127,manner,1
128,identical,1
129,sort,1
130,definition,1
131,stretch,1
132,exdurantists,1
133,hawley,1
134,called,1
135,perdurance,1
136,period,1
137,world,1
138,sub-interval,1
139,stage,4
140,instantaneous,1
141,exists,3
142,kellogg,1
143,universals,1
144,worm,2
145,counterpart,2
146,bear,1
147,merricks,1
148,referred,1
