,term,cnt
0,summer,3
1,circumnavigation,1
2,happened,2
3,distance,1
4,middle,2
5,consistent,1
6,explicitly,2
7,mathematically,1
8,morning,1
9,national,3
10,exist,4
11,bering,1
12,fasts,1
13,dates,5
14,need,1
15,ways,1
16,sunrises,1
17,solely,1
18,person,1
19,thought,1
20,phoenix,1
21,removed,1
22,wager,2
23,malietoa,1
24,limited,1
25,reached,1
26,line,37
27,strait,1
28,hawaii,1
29,second,1
30,arise,2
31,appropriate,1
32,years,1
33,shift,2
34,metaphysical,1
35,american,15
36,mean,1
37,sunset,1
38,marshall,2
39,celebrate,1
40,andor,1
41,hand,1
42,remained,1
43,continues,1
44,eliminate,1
45,monday,4
46,considered,1
47,tuvalu,2
48,niue,1
49,polynesia,1
50,increasingly,1
51,gregorian,6
52,physically,1
53,removing,3
54,factor,2
55,china,1
56,approach,1
57,strictly,1
58,north,6
59,tourist,1
60,physical,1
61,russia,4
62,goes,1
63,muslim,1
64,deviation,1
65,communications,1
66,example,4
67,commercial,1
68,construction,1
69,vernes,1
70,return,3
71,chatham,1
72,protagonist,3
73,station,3
74,judaism,1
75,seventh-day,6
76,colony,1
77,week,5
78,date,42
79,places,7
80,drawn,4
81,kiritimati,2
82,recognize,2
83,routine,1
84,debate,1
85,mario,1
86,known,2
87,philippines,3
88,unlike,1
89,sabbath,5
90,lost,1
91,moving,1
92,practical,1
93,german,1
94,points,1
95,import,1
96,speculation,1
97,six-day,1
98,purview,1
99,enclaves,1
100,howland,1
101,spanish,1
102,main,1
103,revert,1
104,jules,1
105,servant,1
106,existing,1
107,stating,1
108,west-to-east,1
109,business,1
110,advanced,1
111,started,1
112,itserves,1
113,changing,2
114,passepartout,1
115,century,1
116,passed,1
117,duplicate,1
118,adjustment,1
119,time,29
120,earths,1
121,ocean,6
122,universal,3
123,comes,1
124,easternmost,4
125,request,1
126,agency,1
127,later,2
128,nations,2
129,holiday,1
130,returned,1
131,months,1
132,legal,1
133,various,1
134,seas,2
135,influences,1
136,jumuah,1
137,traders,1
138,principal,1
139,communication,2
140,mcmurdo,1
141,depending,1
142,midnight-to-midnight,1
143,neighbors,1
