,term,cnt
0,suffered,1
1,happened,2
2,middle,1
3,features,1
4,trapped,2
5,extremely,1
6,soil,1
7,llano,1
8,national,1
9,basin,1
10,exceedingly,1
11,herradura,1
12,outwards,1
13,bands,1
14,piles,1
15,infill,1
16,assumptions,1
17,surges,3
18,thought,1
19,movement,3
20,splash,1
21,evidenced,1
22,point,1
23,limited,1
24,reached,4
25,line,3
26,strait,1
27,beneath,1
28,hawaii,2
29,second,2
30,years,9
31,bulge,1
32,analysis,1
33,mechanism,1
34,exploded,1
35,considered,1
36,storegga,2
37,instead,1
38,trim,3
39,presented,1
40,archipelago,1
41,hypothesized,1
42,size,1
43,tree,1
44,avalanches,1
45,pyroclastic,1
46,survived,2
47,plate,1
48,north,2
49,collapsed,1
50,negro,1
51,appear,1
52,overflows,1
53,comparable,1
54,active,2
55,atlantic,1
56,cause,3
57,coasts,1
58,drainage,1
59,usual,1
60,overflow,1
61,forestry,1
62,face,1
63,destabilizing,1
64,tonnes,1
65,existence,1
66,yards,1
67,causing,6
68,lituya,8
69,unnoticed,1
70,lateral,1
71,valley,2
72,effects,2
73,coast,6
74,pushed,1
75,carried,1
76,eruption,11
77,rockfall,3
78,known,1
79,lobe,1
80,created,4
81,landslides,4
82,small,1
83,order,1
84,million,6
85,event,1
86,chile,3
87,surge,2
88,unzen,1
89,slipped,1
90,eltanin,2
91,travelling,1
92,considerable,1
93,height,13
94,kilauea,1
95,verde,1
96,large,14
97,triggered,2
98,sharp,2
99,earths,1
100,think,1
101,ocean,10
102,cape,1
103,tsunami,9
104,creating,2
105,lakes,1
106,case,1
107,avalanche,1
108,tens,2
109,visited,1
110,cubic,1
111,various,1
112,analogy,1
113,head,3
114,submerged,1
115,giant,3
116,sedimentary,1
117,volcano,6
118,depending,2
119,boundaries,1
120,observed,1
121,megatsunami,19
122,unable,1
123,city,1
124,opposite,2
125,landslide,14
126,deglaciated,1
127,consider,2
128,disaster,1
129,rivalta,1
130,locale,2
131,debris,3
132,younger,1
133,showed,1
134,palma,3
