,term,cnt
0,having,3
1,distance,1
2,eccentricity,3
3,middle,1
4,method,1
5,particularly,1
6,remain,2
7,extremely,5
8,respect,1
9,properties,1
10,exist,1
11,albedo,1
12,outwards,1
13,need,1
14,bombarding,1
15,traveling,1
16,component,1
17,outflow,1
18,solar,26
19,dictionary,1
20,disintegrated,1
21,ancient,2
22,length,1
23,wind,5
24,hydrogen,1
25,crust,1
26,core,1
27,spectacular,2
28,brought,1
29,account,1
30,late,1
31,thought,5
32,derives,1
33,spherical,1
34,center,1
35,kreutz,2
36,removed,1
37,splash,1
38,emit,1
39,specific,1
40,mars,1
41,retrieved,1
42,point,1
43,science,1
44,landed,2
45,reached,1
46,beneath,1
47,aphelion,1
48,reconnection,1
49,second,2
50,years,12
51,mcnaught,3
52,mean,2
53,structure,1
54,tide,1
55,view,1
56,hubble,2
57,andor,1
58,leads,1
59,continues,1
60,relative,1
61,considered,1
62,instead,1
63,shower,1
64,entered,1
65,appearances,3
66,greek,2
67,size,1
68,neat,1
69,hypothesized,1
70,discover,1
71,complex,1
72,perturbations,4
73,population,1
74,borrelly,2
75,newton,3
76,doubt,1
77,survived,1
78,radiation,4
79,approach,1
80,orbited,1
81,curved,1
82,humans,1
83,physical,1
84,designated,1
85,appear,4
86,mercury,1
87,active,3
88,hairlike,1
89,cause,2
90,example,4
91,monoxide,1
92,galactic,1
93,temperature,1
94,sungrazing,2
95,return,2
96,newly,1
97,frozen,2
98,type,1
99,cast,1
100,lines,1
101,directed,1
102,lovejoy,2
103,loading,1
104,inspired,2
105,portion,1
106,program,1
107,date,1
108,blasted,1
109,unperturbed,1
110,accounted,1
111,effects,1
112,directions,1
113,nearest,1
114,discovered,7
115,debate,1
116,aristotle,1
117,plus,1
118,quixote,1
119,volatile,3
120,known,7
121,lost,3
122,weak,1
123,planets,3
124,rosetta,4
125,longer,3
126,mass,1
127,small,7
128,pervaded,1
129,moving,3
130,characteristics,2
131,million,2
132,order,1
133,square,1
134,event,1
135,single-apparition,2
136,borrellys,1
137,passage,5
138,hyperbolic,6
139,fragile,1
140,discoverers,3
