,term,cnt
0,names,1
1,middle,2
2,gradual,1
3,stretched,1
4,zuiderzee,2
5,entire,1
6,þeudō,1
7,came,1
8,closely,1
9,words,2
10,saxon,4
11,component,1
12,bruges,1
13,belgium,1
14,sian,1
15,close,1
16,earliest,1
17,anglo-frisian,1
18,inhabitants,1
19,friesland,2
20,ainaz,1
21,early,2
22,place-names,1
23,settled,1
24,weser,2
25,braudą,1
26,stressed,1
27,restricted,1
28,southern,2
29,second,1
30,shift,2
31,unpalatalised,1
32,word-initial,1
33,english,7
34,northern,3
35,spoken,3
36,mentioned,1
37,hand,1
38,region,3
39,regions,2
40,shares,1
41,spread,1
42,todays,1
43,retain,1
44,present-day,1
45,ages,1
46,today,1
47,north,3
48,fronted,1
49,example,2
50,phonologically,1
51,ēnān,1
52,brēad,1
53,settlers,1
54,river,2
55,heritage,1
56,territory,1
57,language,6
58,people,3
59,disappears,1
60,particular,1
61,syllabic,1
62,single,1
63,onwards,1
64,palatalisation,1
65,comparison,1
66,grammatical,1
67,attested,1
68,centuries,3
69,distinguish,1
70,pushed,1
71,coast,4
72,frisianstray,1
73,known,1
74,related,1
75,usually,2
76,brād,1
77,longer,1
78,examples,2
79,respectively,1
80,german,1
81,evolved,1
82,syllables,1
83,lived,1
84,consonants,1
85,bread,1
86,velar,2
87,liūde,1
88,preserved,1
89,treasure,1
90,proto-germanic,2
91,inscriptions,2
92,thiād,1
93,reaching,1
94,older,1
95,unstressed,1
96,merges,1
97,frisia,4
98,stress,1
99,germanic,3
100,spoke,2
101,areas,1
102,latin,1
103,century,4
104,giving,1
105,rhine,1
106,initially,1
107,contextare,1
108,time,1
109,shared,1
110,high,1
111,began,1
112,relationship,1
113,later,1
114,texts,3
115,famously,1
116,european,1
117,retains,1
118,greater,1
119,writings,2
120,generally,4
121,circumstances,1
122,showing,1
123,resembles,1
124,legal,1
125,brōd,1
126,vowels,1
127,west,1
128,tacitus,1
129,consist,1
130,positions,1
131,earlier,1
132,survives,1
133,beginning,1
134,cases,1
135,feature,1
136,form,1
137,written,1
138,medieval,2
139,ijsselmeer,1
140,england,1
141,south,2
142,frisians,1
143,jutland,1
144,called,1
145,shifts,1
146,period,1
147,retained,3
148,liudīz,1
149,dutch,4
150,approximately,1
151,area,3
152,diphthong,1
153,consonant,1
154,exists,1
155,personal,1
156,runic,2
157,brightening,1
158,frisian,17
159,magna,1
160,sehwanan,1
161,diphthongs,3
162,germany,3
163,denmark,1
164,kirika,1
165,referred,1
166,substrate,1
