,term,cnt
0,giuseppe,1
1,having,1
2,proposals,1
3,anna,1
4,middle,2
5,method,2
6,pagan,1
7,error,2
8,consistent,2
9,explicitly,1
10,respect,1
11,exist,1
12,component,1
13,dates,7
14,calendrical,1
15,earliest,2
16,solar,2
17,refinement,1
18,ancient,1
19,superiori,1
20,length,5
21,authorization,1
22,luxemburg,1
23,approximation,2
24,late,1
25,instituted,1
26,dictated,1
27,modification,1
28,specific,1
29,point,1
30,drift,9
31,recommendations,1
32,second,1
33,appropriate,1
34,years,37
35,objected,1
36,france,1
37,mean,8
38,sake,1
39,celebrate,1
40,turkey,1
41,polishlithuanian,1
42,remained,1
43,relative,3
44,doubling,2
45,considered,2
46,instead,3
47,entered,1
48,greek,1
49,centurial,3
50,compendium,1
51,proleptic,1
52,true,1
53,gregorian,34
54,removing,1
55,twice,1
56,extracted,1
57,example,2
58,allowed,2
59,annual,2
60,commission,1
61,ecclesiastically,1
62,portugal,1
63,return,2
64,starting,3
65,decreed,2
66,comments,1
67,remember,2
68,epacts,2
69,proposing,1
70,eventually,1
71,moleto,1
72,festival,1
73,computational,1
74,date,22
75,places,2
76,delli,1
77,adopting,1
78,easter,22
79,counts,1
80,related,1
81,longer,3
82,practical,2
83,order,2
84,tables,6
85,fashion,1
86,continued,3
87,liliuss,6
88,spanish,1
89,believed,1
90,revert,1
91,paper,1
92,adjusting,2
93,customary,1
94,regular,1
95,century,5
96,restored,1
97,time,7
98,prior,2
99,xiiis,1
100,later,7
101,fold,1
102,holiday,1
103,accurate,2
104,ends,1
105,allow,1
106,months,1
107,legal,1
108,annunciation,1
109,various,1
110,dating,2
111,solemn,1
112,traditional,2
113,communication,1
114,correction,4
115,beginning,2
116,romana,1
117,included,2
118,calculating,3
119,jagiellon,1
120,norm,1
121,accolti,1
122,depending,1
123,assumed,1
124,england,2
125,forth,1
126,alteration,1
127,unable,1
128,discrepancy,1
129,proved,1
130,anno,1
131,friday,2
132,publish,1
133,scheme,4
134,computed,2
135,equation,1
136,expanded,1
137,julian,29
138,adoption,2
139,longitude,2
140,conforms,1
141,minutes,3
142,future,1
143,scottish,1
144,gradual,1
145,fall,4
146,forward,1
147,placed,2
148,till,1
149,calendar,62
150,numbers,1
151,march,20
152,discounted,1
153,bede,1
154,cycle,7
155,exactly,3
156,phase,1
157,contained,1
158,empire,3
159,negative,1
160,early,1
161,inserted,1
162,effect,1
163,implemented,2
164,enacted,1
165,exiguus,1
166,alexandrian,2
167,numbered,2
168,thursday,2
169,occurs,1
170,affected,2
171,hegira,2
172,imposition,1
173,reduction,1
174,feared,1
175,recognised,1
176,bull,5
177,labelled,1
178,christian,2
179,accuracy,1
180,right,1
181,problem,1
182,republic,1
183,colonies,4
184,long-standing,2
185,lengths,1
186,stop,1
187,formula,1
188,ages,2
189,roughly,1
190,currently,1
191,means,2
192,rule,4
193,clavius,1
194,making,2
195,tied,1
196,sequentially,1
197,officeprobably,1
198,opinion,1
199,drifted,1
200,official,1
201,long,1
202,average,2
203,centuries,4
204,western,2
205,unreformed,1
206,proposal,4
207,rule-based,1
208,border,1
209,difference,4
210,solve,1
211,addition,1
212,correcting,1
213,specifies,1
214,scope,1
215,simple,1
216,nativity,2
217,involving,1
218,parts,1
219,ruler,1
220,rumi,1
221,celebrations,1
222,forms,1
223,equinox,11
224,modern,1
225,requiring,1
226,rejected,1
227,diverged,1
228,escape,1
229,regarded,2
230,festivals,1
231,value,2
232,commonwealth,1
233,xiii,2
234,novo,1
235,spring,1
236,states,3
237,start,11
238,derived,1
239,signed,1
240,christopher,1
241,epact,1
242,lady,1
243,initially,2
244,plot,1
245,introduced,4
246,providing,1
247,april,7
248,authority,2
249,implied,1
250,church,10
251,identified,2
252,specify,1
253,islamic,1
254,secondo,1
255,experts,1
256,january-year,1
257,dual,2
258,written,1
259,tabular,1
260,proposed,3
261,ahead,2
262,called,1
263,antonii,1
264,present,1
265,follows,2
266,alfonsine,1
267,somewhat,1
268,gregory,4
269,falling,1
270,detractors,1
271,calculate,1
272,firstly,1
273,canons,1
274,convenience,1
275,consuls,1
276,position,1
277,ranges,1
278,documents,1
279,entailed,1
280,includes,1
281,hours,2
282,lilij,1
283,vincenzo,1
284,include,1
285,closely,1
286,varied,2
287,purposes,4
288,added,1
289,obtained,1
290,reducing,2
291,following,1
292,consequently,1
293,international,1
294,greece,1
295,defend,1
296,internationally,1
297,fixed,5
298,expert,1
299,changed,4
300,fiscal,4
301,precede,2
302,consists,1
303,subtracting,1
304,provided,1
305,undesirable,1
306,careful,1
307,changes,2
308,argued,1
309,differences,1
310,europe,2
311,components,1
312,byzantine,1
313,saints,1
314,produced,3
315,conditions,1
316,displayed,1
317,philip,2
318,used,10
319,extended,1
320,important,1
321,lilius,3
322,inter,2
323,demand,1
324,jump,1
325,section,3
326,petrus,1
327,held,1
328,sent,2
329,facto,1
330,domini,1
331,converting,2
332,gravissimas,2
333,riforma,1
334,trent,1
335,university,1
336,prutenic,1
337,values,1
338,consisted,1
339,built,1
340,actually,1
341,secular,1
342,short,2
343,adopted,6
344,bissextile,1
345,work,2
346,devised,1
347,revoked,1
348,alphonsine,1
349,ireland,1
350,january,14
351,widely,1
352,solving,2
353,orthodox,2
354,licentia,1
355,authorities,1
356,specified,5
357,countries,11
358,increased,1
359,previous,2
360,territories,1
361,inclusive,1
362,computing,1
363,resulting,1
364,delay,2
365,prevent,1
366,bissextum,1
367,motivation,1
368,attached,1
369,european,3
370,provide,1
371,february,12
372,lunario,1
373,notes,1
374,mathematicians,1
375,required,1
376,babylonian,1
377,gives,1
378,revolutionibus,1
379,country,2
380,deletion,1
381,italy,1
382,begins,1
383,excess,1
384,churches,6
385,obstacle,2
386,trade,1
387,pitatus,2
388,nicaea,4
389,period,4
390,systems,1
391,plan,1
392,resulted,1
393,usage,1
394,accumulated,2
395,brother,1
396,moved,3
397,technical,1
398,real,1
399,equivalent,3
400,contrast,1
401,dated,1
402,sweden,1
403,different,5
404,british,3
405,including,2
406,claviuss,1
407,based,1
408,general,3
409,sixth,1
410,solsticesparticularly,1
411,exclusive,1
412,vernal,6
413,preceding,1
414,able,1
415,runs,1
416,copies,1
417,dionysius,1
418,nuova,1
419,republican,1
420,notably,1
421,prevailed,1
422,tropical,5
