,term,cnt
0,having,1
1,socialize,1
2,allof,1
3,particularly,1
4,representatives,1
5,approval,1
6,entitled,1
7,respect,1
8,winfrey,1
9,tonopah,1
10,national,1
11,snow,1
12,approbation,1
13,dissenter,1
14,accessory,1
15,opposition,1
16,little,1
17,building,1
18,apostolic,3
19,instituted,1
20,movement,5
21,removed,1
22,founder,1
23,line,1
24,concentration,1
25,crisis,1
26,second,3
27,sentenced,1
28,years,1
29,purse,1
30,tenets,1
31,pawnshops,1
32,american,2
33,structure,1
34,view,4
35,recent,2
36,descended,1
37,clan,3
38,cousin,1
39,declined,1
40,apostle,4
41,continues,1
42,clear,1
43,considered,2
44,searched,1
45,litigation,1
46,selection,1
47,statehood,2
48,entered,1
49,population,2
50,conflict,2
51,solemnized,1
52,reconciled,1
53,selected,1
54,robert,2
55,true,2
56,accordance,1
57,rights,1
58,forced,1
59,designated,1
60,physical,1
61,non-mormon,1
62,house,1
63,blackmore,1
64,smith,6
65,example,2
66,allowed,1
67,liberal,1
68,context,1
69,homes,1
70,services,2
71,teachings,2
72,creek,2
73,celestial,1
74,things,1
75,equally,1
76,claims,1
77,previously,1
78,program,1
79,practices,8
80,valley,3
81,recognize,1
82,smoot,2
83,inerrant,1
84,ignored,1
85,make,1
86,carried,1
87,alberta,1
88,motion,1
89,known,4
90,unlike,1
91,scripture,2
92,lost,1
93,oler,1
94,wilford,1
95,solemnize,1
96,longer,1
97,polygamy,5
98,related,1
99,order,3
100,small,1
101,flds,10
102,cohesive,2
103,family,1
104,lose,1
105,alma,1
106,continued,3
107,voters,1
108,marrying,1
109,statement,1
110,primary,1
111,ecclesiastical,1
112,mormon,33
113,diverse,1
114,condemning,1
115,stating,1
116,seriousness,1
117,private,1
118,wrongly,2
119,rebuttal,1
120,help,1
121,unchanging,2
122,century,2
123,claimed,3
124,large,3
125,allred,3
126,time,3
127,prior,1
128,trace,1
129,accepted,2
130,weekly,1
131,dozen,1
132,prophet,1
133,later,1
134,stringent,1
135,branch,2
136,instruct,1
137,counselor,1
138,surrounding,1
139,case,4
140,secretive,1
141,allow,1
142,union,1
143,attaining,1
144,james,1
145,various,1
146,president,4
147,dating,1
148,petersen,1
149,beginning,1
150,sections,1
151,disenfranchised,1
152,revelation,5
153,form,3
154,temple,3
155,enact,1
156,dissident,1
157,incest,1
158,separate,1
159,portal,1
160,continuing,1
161,city,5
162,ivan,1
163,consider,1
164,teach,1
165,permit,1
166,mainstream,3
167,degree,1
168,estimate,2
169,practice,7
170,children,2
171,communities,2
172,possess,1
173,apart,1
174,christ,11
175,mormons,3
176,territorial,1
177,polygyny,2
178,latter-day,6
179,individual,1
180,evinced,1
181,advocate,1
182,oath,1
183,located,1
184,monthly,1
185,prohibiting,2
186,bishop,1
187,mormonism,4
188,serve,1
189,administrations,1
190,principle,3
191,four-day,1
192,numbers,1
193,formed,1
194,distinctions,1
195,officials,1
196,abuse,1
197,montana,1
198,anti-polygamy,1
199,leadership,4
200,tradition,1
201,presidents,2
202,attain,1
203,holds,1
204,colorado,3
205,tend,2
206,early,4
207,columbia,1
208,park,8
209,bound,1
210,policy,1
211,fundamentalists,23
212,keys,1
213,vote,2
214,conceived,2
215,certain,3
216,northern,2
217,priesthood,10
218,utah,14
219,christian,1
220,jeffs,1
221,hierarchy,1
222,associated,3
223,chastised,1
224,colonies,1
225,share,1
226,associate,1
227,evidence,1
228,custody,2
229,today,3
230,scriptures,1
231,currently,2
232,development,1
233,rule,1
234,gained,1
235,aspect,1
236,brighamite,1
237,laws,3
238,growing,1
239,salt,5
240,effort,1
241,leaders,4
242,closed,1
243,property,2
244,coming,1
245,husband,1
246,single,1
247,lake,5
248,influential,1
249,one-man,1
250,soon,1
251,focused,1
252,scholars,1
253,estimated,5
254,western,2
255,disavow,1
256,recently,1
257,raid,1
258,mostif,1
259,addition,1
260,usually,2
261,examples,1
262,dress,3
263,nielson,1
264,hold,3
265,book,1
266,exclusion,1
267,modern,2
268,controversy,1
269,indicates,1
270,headquarters,1
271,textual,1
272,generated,1
273,life,1
274,public,1
275,published,1
276,website,1
277,regarded,1
278,micheal,1
279,history,1
280,rapidly,1
281,fundamentalist,22
282,angel,1
283,acceptable,1
284,all-important,1
285,states,6
286,prohibited,2
287,converts,1
288,oprah,1
289,frequently,1
290,vehemently,1
291,taylor,2
292,canon,2
293,reed,2
294,initially,1
295,difficult,1
296,prison,1
297,expedient,1
298,primetime,1
299,succession,1
300,centennial,8
301,informal,1
302,april,1
303,authority,10
304,mainline,1
305,lorenzo,1
306,schools,1
307,basis,1
308,persecutions,1
309,church,56
310,characterized,1
311,violence,1
312,-old,1
313,near,3
314,lynn,1
315,organization,2
316,naylor,4
317,salem,1
318,locate,1
319,twin,2
320,south,1
321,individualistic,1
322,come,3
323,called,2
324,present,1
325,missouri,2
326,wives,2
327,excommunicates,1
328,follow,1
329,established,1
330,maintain,1
331,land,1
332,support,1
333,wyoming,1
334,effectively,1
335,prophets,1
336,officially,1
337,egalitarian,1
338,charter,1
339,young,5
340,includes,1
341,include,3
342,live,3
343,closely,3
344,gerald,2
345,sources,2
