,term,cnt
0,honour,1
1,poet,1
2,religare,1
3,located,1
4,parents,1
5,social,3
6,lars,1
7,respect,2
8,expressed,1
9,include,1
10,confidence,1
11,religio,2
12,principle,1
13,earn,1
14,superstitio,1
15,translated,1
16,suggests,1
17,relationships,1
18,hill,1
19,dignitas,4
20,ancient,4
21,result,1
22,gravitas,3
23,worth,1
24,tradition,2
25,following,1
26,character,1
27,society,5
28,homeland,1
29,empire,1
30,early,1
31,peers,1
32,developments,1
33,conservatism,1
34,autonomous,1
35,christianity,1
36,democratic,1
37,patron,2
38,dedicated,1
39,word,3
40,collapse,1
41,years,1
42,countered,1
43,capitoline,1
44,magistracies,1
45,english,1
46,bond,1
47,populus,1
48,state,1
49,argued,1
50,augustus,1
51,roman,13
52,mortals,1
53,hand,1
54,ancestral,2
55,absolute,1
56,christian,2
57,individuals,1
58,right,2
59,grandpas,1
60,interlocking,1
61,conflict,1
62,complex,1
63,republic,2
64,attitude,1
65,avorum,1
66,blind,1
67,suetonius,1
68,jupiter,1
69,importance,1
70,obligated,1
71,cultus,1
72,true,1
73,esteem,1
74,potentially,1
75,displayed,1
76,gods,2
77,conservative,1
78,reputation,1
79,credibility,1
80,maintenance,1
81,king,1
82,military,2
83,mutual,1
84,constantia,2
85,hierarchies,1
86,trusttrustworthiness,1
87,bind,1
88,appeal,1
89,familias,1
90,radical,1
91,customs,1
92,held,1
93,service,1
94,people,1
95,death,1
96,priesthoods,1
97,cliens,2
98,program,1
99,evoked,1
100,ancestors,1
101,practices,1
102,self-control,2
103,familia,3
104,custom,1
105,path,1
106,discrete,1
107,virtus,2
108,inherent,1
109,clientela,1
110,distinctive,1
111,transition,1
112,depended,1
113,revealed,1
114,carried,1
115,imperial,1
116,values,3
117,created,1
118,better,1
119,auctoritas,4
120,pater,1
121,related,2
122,morality,1
123,order,1
124,succinct,1
125,family,3
126,determination,1
127,edict,1
128,supported,2
129,faithfaithfulness,1
130,undermined,1
131,household,2
132,symmachus,1
133,forms,1
134,possible,1
135,contrary,1
136,continued,1
137,autonomy,1
138,reconstructionism,1
139,bonds,1
140,censors,1
141,distinguished,1
142,preserved,1
143,hierarchical,2
144,religious,2
145,tempora,1
146,model,1
147,dignified,1
148,constituted,1
149,obligations,1
150,seriousness,1
151,etruscan,1
152,male,1
153,network,1
154,power,1
155,historian,1
156,prudentius,1
157,dismissed,1
158,superstition,1
159,derived,1
160,latin,3
161,holding,1
162,pietas,4
163,training,1
164,expression,1
165,discipline,1
166,dutiful,2
167,prestige,1
168,religion,2
169,populares,1
170,disciplina,2
171,relationship,3
172,preserving,1
173,essential,1
174,later,1
175,maiorum,6
176,disguised,1
177,verb,1
178,greater,1
179,displaying,1
180,underlying,1
181,value-words,1
182,authority,2
183,networks,1
184,demonstrated,1
185,driven,1
186,patronus,2
187,interests,1
188,fides,3
189,good,1
190,required,1
191,julius,1
192,reliability,1
193,porsenna,1
194,head,1
195,status,1
196,polytheistic,1
197,prosperity,1
198,near,1
199,positions,1
200,traditional,3
201,validate,1
202,temple,1
203,charismatic,1
204,veterum,1
205,manner,1
206,ideal,2
207,truth,1
208,romes,1
209,legend,1
210,education,1
211,unit,3
212,come,1
213,mores,1
214,adherence,1
215,finds,1
216,-century,1
217,similarly,1
218,rome,5
219,cult,1
220,usage,1
221,founding,1
222,inferior,1
223,stability,1
224,piety,1
225,caesar,1
226,client,1
227,practice,1
228,possess,1
229,politics,1
230,higher,1
231,sense,1
232,encompasses,1
233,self-perpetuating,1
234,moral,1
