,term,cnt
0,having,1
1,names,1
2,faint,1
3,pure,1
4,observations,2
5,brighter,1
6,nearly,1
7,planet,2
8,influenced,1
9,exist,1
10,infrared,1
11,albedo,2
12,came,1
13,diameter,1
14,formed,1
15,unlikely,1
16,ways,1
17,solar,1
18,close,1
19,haumean,1
20,telescope,3
21,exactly,1
22,admitted,1
23,thought,1
24,space,2
25,surprising,1
26,international,1
27,triple,1
28,measured,1
29,presence,1
30,numbered,1
31,haumeas,5
32,hawaii,1
33,line,1
34,years,1
35,makes,1
36,independently,1
37,satellites,3
38,hubble,1
39,team,1
40,kuiper,2
41,water,2
42,collisional,1
43,named,1
44,mantle,1
45,orbit,1
46,appears,1
47,september,2
48,angular,1
49,spectra,2
50,telescopes,3
51,haumea,13
52,roughly,1
53,designated,1
54,surface,2
55,objects,1
56,appear,1
57,extended,1
58,earth,1
59,making,1
60,disrupted,1
61,camera,1
62,namaka,4
63,photometry,1
64,detect,1
65,confirmed,1
66,tenth,1
67,official,1
68,permanent,1
69,hsts,1
70,satellite,1
71,nicmos,1
72,reasonable,1
73,discovered,3
74,known,1
75,dwarf,1
76,mass,1
77,small,3
78,family,1
79,respectively,1
80,seen,1
81,calculated,1
82,edge-on,1
83,parts,1
84,belt,2
85,indicates,1
86,goddesses,1
87,outermost,1
88,sizes,1
89,catalogue,1
90,assumption,1
91,adequate,1
92,moon,1
93,greatly,1
94,magnitude,1
95,keck,2
96,occulted,1
97,january,1
98,spitzer,1
99,rare,1
100,astronomical,1
101,aperture,1
102,object,1
103,unusual,1
104,smaller,1
105,announced,1
106,dynamics,1
107,large,4
108,impact,1
109,larger,4
110,makemake,1
111,time,1
112,composition,1
113,spectrum,1
114,eccentric,1
115,number,1
116,ground-based,1
117,hawaiian,1
118,metres,1
119,light,1
120,strong,1
121,observable,1
122,union,1
123,spectral,1
124,outer,3
125,circularly,1
126,moons,11
127,observatory,2
128,amateur,1
129,resolution,1
130,unusually,1
131,billions,1
132,orbits,2
133,legend,1
134,body,1
135,separate,1
136,easily,1
137,present,1
138,third-brightest,1
139,amounts,1
140,hiʻiaka,5
141,visual,1
142,periodically,1
143,minor,1
144,caltech,1
145,debris,1
146,children,1
147,different,1
148,pluto,1
