,term,cnt
0,unlike,1
1,neighboring,1
2,numerous,1
3,remnants,1
4,farallon,2
5,remnant,1
6,located,1
7,usgs,1
8,fracture,1
9,juan,2
10,subducting,2
11,southerly,1
12,california,3
13,basin,1
14,easterly,1
15,plates,1
16,mendocino,2
17,mount,1
18,gorda,5
19,lassen,2
20,publications,1
21,plate,10
22,simply,1
23,tectonic,1
24,sediments,1
25,deformation,1
26,north,1
27,cascadia,1
28,fuca,2
29,boundaries,1
30,faults,1
31,subduction,1
32,boundary,4
33,south,1
34,example,1
35,erupted,1
36,westerly,1
37,northerly,1
38,triple,1
39,convergent,1
40,blanco,1
41,basement,1
42,significant,1
43,experiences,1
44,ridge,1
45,beneath,1
46,volcanoes,1
47,southernmost,1
48,portion,1
49,mapped,1
50,divergent,1
51,pacific,3
52,connected,1
53,program,1
54,interior,1
55,american,1
56,ocean,1
57,fault,1
58,forming,1
59,zone,2
60,peak,2
61,northern,4
62,earthquake,1
63,shasta,1
64,junction,1
65,transform,2
66,referred,1
67,inside,1
68,coast,1
69,hazards,1
