,term,cnt
0,blend,1
1,features,1
2,editors,2
3,particularly,1
4,regard,1
5,recommend,1
6,respect,1
7,divino,1
8,alberto,1
9,need,1
10,translated,2
11,purposes,1
12,unsuitable,1
13,bernard,3
14,result,1
15,communautés,1
16,coordinated,1
17,chavacano,1
18,pastoral,2
19,catholic,3
20,subsequently,1
21,commentaries,2
22,second,1
23,translations,2
24,american,1
25,versions,1
26,english,2
27,missionary,1
28,reorganized,1
29,seventeenth,1
30,inclusion,1
31,intended,1
32,peoples,1
33,christian,8
34,poor,1
35,chrétiennes,1
36,greek,1
37,latinoamericana,1
38,publication,1
39,broad,1
40,translation,7
41,listed,1
42,meaning,1
43,produced,2
44,originally,1
45,sang,2
46,currently,2
47,ordinary,2
48,jewish,2
49,king,1
50,biblical,2
51,communications,1
52,usual,1
53,hebrew,3
54,language,3
55,people,4
56,shèngjīng,1
57,content,1
58,editions,1
59,kept,1
60,kristohanong,1
61,douay-rheims,1
62,comparison,1
63,languages,2
64,edition,1
65,bahasa,1
66,french,2
67,tagalog,1
68,trent,1
69,known,1
70,philippines,2
71,understand,1
72,categories,1
73,katilingban,2
74,slightly,1
75,order,3
76,family,1
77,vulgate,1
78,chile,1
79,bible,19
80,theological,1
81,books,4
82,latinoamérica,1
83,distribution,1
84,quechuan,1
85,despite,1
86,begun,1
87,controversy,1
88,foundation,1
89,primary,1
90,sambayanang,1
91,published,5
92,according,2
93,spanish,1
94,criticisms,2
95,louis,2
96,hurault,3
97,kristiano,1
98,latin,2
99,canon,1
100,aimed,1
101,korean,1
102,countries,1
103,pilipino,1
104,training,1
105,time,1
106,previous,1
107,prior,1
108,verbum,1
109,deuterocanonical,1
110,began,1
111,texts,2
112,process,1
113,biblia,5
114,afflante,1
115,accurate,1
116,case,1
117,testament,2
118,liturgiam,1
119,community,7
120,james,1
121,peuples,2
122,chinese,3
123,claretian,3
124,publications,1
125,multiple,1
126,regarding,1
127,spiritu,1
128,traditional,1
129,simplified,1
130,rossa,1
131,council,2
132,bibles,2
133,introduction,1
134,authenticam,1
135,called,1
136,world,1
137,extensive,2
138,present,1
139,vatican,1
140,ilonggo,1
141,represented,1
142,cebuano,1
143,consider,1
144,outlines,1
145,readers,2
146,literally,3
147,helping,1
148,mùlíng,1
149,centre,1
150,accessible,1
