,term,cnt
0,study,1
1,uranus,3
2,proposal,1
3,considered,1
4,spectro-imager,1
5,orbiter,1
6,odinus,2
7,seismic,1
8,radiometer,1
9,detector,1
10,mass,1
11,image,2
12,planet,1
13,doppler,1
14,proposers,1
15,neutrals,1
16,mission,5
17,magnetic,1
18,microwave,1
19,vis-nir,1
20,agencys,1
21,dubbed,1
22,programme,1
23,complement,1
24,pantheon,1
25,neptune,1
26,gods,1
27,atmospheric,1
28,concept,2
29,used,1
30,pathfinder,1
31,proposed,1
32,following,2
33,neptunian,1
34,twin,3
35,consisting,1
36,vision,1
37,probe,2
38,freyja,1
39,instruments,2
40,space,2
41,energetic,1
42,atoms,1
43,phase,1
44,systems,1
45,origins,1
46,spacecraft,1
47,norse,1
48,descent,1
49,interiors,1
50,freyr,1
51,angle,1
52,level,1
53,orbiters,1
54,camera,1
55,designed,1
56,dynamics,1
57,high-sensitivity,1
58,accelerometer,1
59,strongly,1
60,neutral,1
61,wide,1
62,fields,1
63,cosmic,1
64,provided,1
65,magnetometer,1
66,uranian,1
67,additional,1
68,proposes,1
69,ions,1
70,missions,1
71,measurements,2
72,inms,2
73,expand,1
74,narrow,1
75,spectrometer,2
76,essential,1
77,european,1
78,giants,1
79,desired,1
