,term,cnt
0,having,1
1,hydrocarbona,1
2,graphite,37
3,solids,2
4,smelting,2
5,printing,1
6,short-lived,1
7,well-known,1
8,expandable,1
9,molding,1
10,purification,1
11,inorganic,3
12,pure,1
13,remain,1
14,properties,5
15,sulfuric,1
16,streak,1
17,cooling,1
18,proton,2
19,extremely,2
20,exist,3
21,electroforming,1
22,color,1
23,diversity,1
24,mica,1
25,ways,2
26,hardness,2
27,solar,2
28,plastics,4
29,earliest,1
30,ancient,1
31,feldspars,1
32,half-life,2
33,length,1
34,enters,1
35,dead,1
36,pahs,2
37,hydrogen,7
38,crust,2
39,core,2
40,petrochemical,1
41,carbon-carbon,2
42,botswana,2
43,configurations,1
44,γράφειν,1
45,cosmology,1
46,processes,1
47,animals,2
48,electrons,2
49,specific,1
50,valued,1
51,point,1
52,science,1
53,accumulation,1
54,limited,1
55,democratic,1
56,concentration,1
57,second,1
58,years,1
59,stabilized,1
60,phosphorus,1
61,blocks,1
62,lubricant,1
63,molecular,2
64,covalently,1
65,structure,8
66,copper,1
67,bond,1
68,plastic,1
69,horizontal,1
70,neutrons,2
71,hand,1
72,clouds,1
73,polishing,3
74,narrow,1
75,crushing,1
76,team,1
77,remained,1
78,considered,1
79,strips,2
80,brightly,1
81,greek,1
82,size,3
83,ferrocene,1
84,usgs,1
85,cylinders,1
86,complex,1
87,refrigerants,1
88,burning,1
89,artists,1
90,dissolution,1
91,procedure,1
92,rings,3
93,submillimeter,1
94,electricity,1
95,survived,1
96,synthesized,1
97,ferchault,1
98,cashmere,1
99,intervals,1
100,carbons,1
101,fluorescence,2
102,china,5
103,north,3
104,humans,1
105,physical,2
106,twice,1
107,oxidation,3
108,burned,1
109,allotropes,8
110,russia,2
111,carbo,2
112,toner,1
113,nanoparticles,1
114,hexagons,1
115,pencils,2
116,active,1
117,atoms,13
118,example,10
119,electrical,3
120,temperature,5
121,monoxide,4
122,softest,1
123,photosynthetic,1
124,floating,1
125,commercial,1
126,newly,1
127,petrochemicals,1
128,starting,1
129,type,2
130,carriers,1
131,complicated,1
132,digestive,2
133,economy,1
134,lowest,2
135,six-membered,1
136,complete,1
137,windscale,1
138,supergiant,1
139,collide,1
140,foremost,1
141,tonnes,1
142,existence,1
143,sawing,1
144,bulk,1
145,allotrope,4
146,pressures,2
147,processed,1
148,cation,1
149,purity,1
150,causing,1
151,minerals,1
152,communis,1
153,date,2
154,transform,1
155,fossil,4
156,lectin,1
157,discovered,4
158,linen,1
159,consume,1
160,popularizer,1
161,plus,1
162,known,18
163,quality,5
164,refineries,1
165,make,1
166,created,3
167,unlike,1
168,weak,1
169,planets,1
170,element,9
171,mass,5
172,small,5
173,family,1
174,order,1
175,million,4
176,diamonds,25
177,german,1
178,kimberlites,1
179,hoods,1
180,dealing,1
181,fairly,1
182,dust,1
183,harm,1
184,origin,2
185,hope,1
