,term,cnt
0,excluded,1
1,arguments,1
2,analogous,1
3,timescales,1
4,located,1
5,greenwich,2
6,relativity,2
7,forward,1
8,clock,2
9,precision,2
10,principle,1
11,theory,1
12,closely,1
13,theories,1
14,need,1
15,realized,1
16,gravitational,1
17,solar,3
18,purposes,1
19,length,1
20,approximation,1
21,argument,1
22,ephemeris,7
23,account,3
24,late,3
25,consequently,1
26,spite,1
27,space,1
28,lesser,1
29,solar-system-barycentric,1
30,confusing,1
31,international,1
32,connection,1
33,early,2
34,measured,1
35,observatories,1
36,comoving,1
37,clocks,3
38,term,1
39,uniformly,1
40,epoch,2
41,increasing,1
42,frame,4
43,drift,1
44,second,2
45,word,1
46,coordinate,5
47,makes,1
48,geocenter,1
49,mean,2
50,dynamique,1
51,terrestrial,3
52,replace,1
53,offset,1
54,argued,1
55,intended,2
56,differences,1
57,barycentrique,1
58,developed,1
59,millennia,1
60,continues,1
61,relative,1
62,considered,1
63,gravity,1
64,accuracy,1
65,size,3
66,named,1
67,replacement,1
68,series,1
69,relativistic,3
70,caesium,1
71,solar-system,1
72,calculations,1
73,invented,1
74,increasingly,2
75,superseded,1
76,original,2
77,criticized,1
78,irregularities,2
79,temps,1
80,physically,1
81,accordance,1
82,linear,1
83,year,1
84,standard,7
85,difficulties,1
86,successor,3
87,surface,2
88,used,3
89,scales,5
90,applications,2
91,non-relativistic,1
92,earth,5
93,variations,1
94,important,1
95,laboratory,1
96,paris,1
97,celestial,1
98,things,1
99,condition,1
100,near-earth,1
101,rate,2
102,practically,1
103,jdtcb,1
104,slowing,1
105,achievable,1
106,eventually,2
107,official,1
108,geocentric,2
109,long,1
110,estimated,1
111,date,1
112,definitions,2
113,centuries,1
114,average,1
115,exact,2
116,implementations,1
117,french,1
118,tick,1
119,defining,1
120,ephemerides,4
121,difference,4
122,addition,1
123,rest,1
124,expressly,1
125,usually,1
126,longer,2
127,small,3
128,practical,2
129,seen,1
130,calculated,1
131,secondary,2
132,independent,1
133,neglected,2
134,necessary,1
135,possible,2
136,short,1
137,adopted,1
138,relevant,1
139,barycenter,1
140,continued,1
141,compared,1
142,atomic,3
143,dilation,3
144,moon,1
145,according,1
146,smallness,1
147,supersede,1
148,acknowledged,1
149,existing,1
150,seconds,2
151,limits,1
152,realizations,2
153,history,1
154,january,1
155,damage,2
156,milliseconds,1
157,astronomical,3
158,reference,4
159,equal,1
160,scale,3
161,increases,1
162,variable,1
163,suitable,1
164,century,2
165,specified,1
166,planetary,4
167,doubts,1
168,exceeding,1
169,time,35
170,rotation,3
171,earths,2
172,quantity,1
173,measurements,1
174,universal,1
175,additional,1
176,began,1
177,renamed,1
178,later,3
179,applies,1
180,relationship,1
181,propulsion,1
182,accompanied,1
183,provide,1
184,creating,1
185,outside,1
186,astronomically,1
187,observedevaluated,1
188,direct,1
189,initial,1
190,union,1
191,remains,1
192,basis,1
193,refined,1
194,confused,1
195,motions,1
196,uniformity,1
197,redefined,1
198,time-scale,1
199,unattainable,1
200,multiple,1
201,principal,1
202,periodic,1
203,appreciated,1
204,beginning,1
205,corresponding,1
206,wells,1
207,resolution,2
208,suspected,1
209,meeting,1
210,form,1
211,definition,2
212,deprecation,1
213,observed,1
214,metric,1
215,present,1
216,measuring,1
217,hypothetical,1
218,astrodynamics,1
219,appropriateness,1
220,barycentric,4
221,established,1
222,lower,1
223,raised,1
224,equivalent,3
225,lunar,1
226,dynamical,4
227,equations,1
228,risk,1
229,relying,1
230,earth-based,1
231,showed,1
232,mechanics,1
233,teph,2
234,improved,2
235,julian,1
236,standards,1
237,coincide,1
238,based,2
239,general,1
240,defined,4
241,resolutions,1
