,term,cnt
0,buildings,2
1,amber,1
2,blend,1
3,submarine,1
4,pure,2
5,creates,2
6,features,1
7,quartzite,1
8,soil,1
9,properties,1
10,color,1
11,accessory,3
12,feldspars,2
13,ways,1
14,hardness,2
15,ancient,2
16,compression,1
17,little,1
18,crust,1
19,building,3
20,cement,11
21,correspond,1
22,necessitating,1
23,pore,4
24,folks,1
25,modification,1
26,siliciclastic,1
27,specific,1
28,pink,2
29,point,1
30,cemented,3
31,second,1
32,analysis,1
33,structure,1
34,hematite,1
35,housewares,1
36,clear,1
37,continues,1
38,statues,1
39,plotted,3
40,size,2
41,dott,2
42,replacement,1
43,dissolution,1
44,complex,1
45,dunes,1
46,tints,1
47,domestic,1
48,physically,1
49,kurkar,1
50,excellent,1
51,channel,1
52,north,1
53,physical,2
54,corundum,1
55,goes,1
56,burial,2
57,spaces,3
58,deposition,2
59,construction,2
60,paving,1
61,homes,1
62,type,2
63,beach,1
64,desert,2
65,geology,1
66,complete,1
67,sandstone,36
68,bulk,2
69,minerals,18
70,places,1
71,jasper,1
72,eroding,1
73,rarely,1
74,feldspar,9
75,suspension,1
76,make,5
77,known,1
78,chert,2
79,settling,1
80,related,1
81,textural,3
82,topographic,1
83,small,1
84,characteristics,2
85,square,1
86,argillaceous,1
87,points,1
88,origin,2
89,calcium,1
90,colors,2
91,primary,1
92,overlying,1
93,levees,1
94,olivine,1
95,significant,1
96,plutonic,1
97,implements,1
98,large,1
99,terrains,1
100,earths,1
101,additional,2
102,geometry,1
103,illustrates,1
104,stable,1
105,ranging,1
106,source,3
107,dotts,3
108,adheres,1
109,ergs,1
110,predominant,1
111,lakes,1
112,allow,2
113,sand,9
114,asphalt,1
115,percolation,1
116,principal,2
117,sedimentary,4
118,magnetite,1
119,gritstone,1
120,england,1
121,compacted,2
122,bars,2
123,cements,2
124,alteration,1
125,anhydrite,1
126,represents,1
127,matrices,1
128,breccias,1
129,clay,3
130,scheme,5
131,classification,7
132,cementing,1
133,resistant,3
134,quantities,1
135,binding,1
136,sorted,1
137,individual,2
138,heavy,1
139,orthoquartzite,1
140,petrology,1
141,orogenic,1
142,matrix,13
143,relatively,2
144,diameter,1
145,illustrated,1
146,formed,2
147,petroleum,1
148,termed,1
149,tend,1
150,siliceous,1
151,determining,1
152,permeability,2
153,uncommon,1
154,allows,1
155,stream,1
156,metamorphic,2
157,naked,1
158,rutile,1
159,lithic,10
160,makes,2
161,occurs,1
162,quartz,20
163,non-friable,1
164,certain,2
165,detrital,1
166,purplish,1
167,silica,4
168,regularity,1
169,flats,1
170,conglomerates,1
171,contain,3
172,ornamental,1
173,concepts,1
174,classified,2
175,shale,1
176,structures,1
177,past,1
178,surface,2
179,sandstones,26
180,boundary,2
181,fluids,2
182,making,2
183,turbidites,1
184,clasts,3
185,texturally,3
186,calcite,4
187,visible,2
188,buried,1
189,sorting,1
190,soft,2
191,manganese,1
192,varieties,1
193,lake,1
194,concrete,1
195,immature,1
196,content,2
197,interpret,2
198,fragments,9
199,mature,3
200,clays,2
201,brown,1
202,difference,1
203,categories,2
204,better,1
205,addition,1
206,usually,3
207,major,1
208,weathering,3
209,examples,1
210,carve,1
211,wackes,4
212,forms,1
213,deserts,1
214,micas,1
215,bounced,1
216,interstitial,3
217,create,1
218,published,1
219,constructing,1
220,carbonate,2
221,precipitation,1
222,classifying,1
223,rapidly,1
224,states,1
225,classify,1
226,collyhurst,1
227,derived,2
228,smaller,2
229,pyroxene,1
230,crucial,1
231,typically,3
232,grain,8
233,easy,2
234,fine,1
235,imparting,1
236,feldspathic,3
237,adhered,1
238,retains,1
239,greater,3
240,layer,1
241,subordinate,1
242,material,4
243,arkose,1
244,visually,1
245,reservoirs,1
246,fountains,1
247,dense,1
248,surrounded,1
249,uniformity,1
250,identified,1
251,porosity,1
252,rudaceous,1
253,dual,1
254,beds,1
255,oxide,1
256,artistic,1
257,definition,1
258,come,1
259,limestone,1
260,called,3
261,glacial,1
262,muscovite,1
263,present,6
264,aids,1
265,stage,2
266,tempestites,1
267,poorly,1
268,mainly,1
269,compositional,1
270,mineralogy,1
271,defined,1
272,deltas,1
273,terracotta,1
274,breaks,1
275,open,1
276,includes,1
277,dark,2
278,include,7
279,rolled,1
280,purposes,1
281,primarily,1
282,sands,3
283,deposits,2
284,following,2
285,space,3
286,measured,1
287,quartz-bearing,1
288,types,4
289,chart,8
290,coal,1
291,sedimentation,2
292,friability,1
293,assortment,1
294,shows,2
295,grey,1
296,gypsum,2
297,representation,1
298,barite,1
299,yellow,2
300,deposited,1
301,acts,1
302,rocks,5
303,geologists,3
304,evolve,1
305,foot,1
306,differences,1
307,limonite,1
308,europe,1
309,water,4
310,regions,1
311,components,2
312,angular,1
313,broad,1
314,zeolite,1
315,porous,1
316,sydney,1
317,cliffs,1
318,belts,1
319,used,9
320,garnet,1
321,prehistoric,1
322,crevices,1
323,maturity,3
324,exceptional,1
325,format,1
326,involves,1
327,section,1
328,flow,1
329,iron,1
330,fractured,1
331,seismic,1
332,masonry,1
333,stages,3
334,sand-sized,2
335,white,1
336,seen,1
337,pieces,1
338,hydraulic,1
339,volcanogenic,1
340,sizes,3
341,tectonic,1
342,work,2
343,storm,1
344,alkali,1
345,list,1
346,model,3
347,originate,1
348,arenites,6
349,widely,1
350,offshore,1
351,split,1
352,stone,2
353,mongolia,1
354,composition,4
355,colours,1
356,groundwater,1
357,resulting,1
358,high,1
359,tourmaline,1
360,attached,1
361,silicate,2
362,opposed,1
363,mono-minerallic,1
364,crystallographic,1
365,rivers,1
366,interstices,1
367,southwestern,1
368,igneous,1
369,recycled,1
370,supermature,2
371,dominant,1
372,crystals,2
373,shales,1
374,adhesion,1
