,term,cnt
0,monthly,1
1,error,1
2,properties,2
3,saturation,1
4,national,1
5,interpolated,1
6,include,2
7,data,6
8,primarily,1
9,temporal,1
10,ascii,1
11,averages,1
12,center,1
13,depth,1
14,early,1
15,additionally,1
16,consists,1
17,utilisation,1
18,percent,1
19,analysis,1
20,spatial,1
21,project,1
22,horizontal,1
23,contains,1
24,vertical,1
25,produced,4
26,silicic,1
27,intervals,1
28,standard,2
29,atlas,2
30,apparent,1
31,surface,2
32,seasonal,1
33,deviation,1
34,objectively-analysed,1
35,laboratory,1
36,temperature,1
37,annual,1
38,information,1
39,situ,1
40,editions,1
41,nitrate,1
42,average,1
43,mixed,1
44,circulation,1
45,product,1
46,make,1
47,three-dimensional,1
48,addition,1
49,points,1
50,seven,1
51,averaged,2
52,dissolved,1
53,grids,1
54,phosphate,1
55,seafloor,1
56,constituent,1
57,standardised,1
58,height,1
59,derived,1
60,global,2
61,climate,1
62,typically,1
63,climatology,1
64,abyssal,1
65,oxygen,3
66,cora,1
67,acid,1
68,ocean,9
69,time-scales,1
70,number,1
71,european,1
72,concerning,1
73,statistical,1
74,layer,1
75,seas,2
76,consist,1
77,compressed,1
78,experiment,1
79,resolution,3
80,included,1
81,world,3
82,netcdf,1
83,lower,1
84,dataset,3
85,fields,9
86,oceanographic,1
87,salinity,1
