,term,cnt
0,studies,1
1,scribes,2
2,middle,1
3,nearly,1
4,scot,2
5,folio,4
6,gospels,3
7,contemporaneously,1
8,color,1
9,saxon,1
10,parker,4
11,bought,1
12,given,1
13,folios,2
14,unknown,1
15,late,1
16,center,1
17,blue,1
18,early,2
19,dialect,1
20,arizona,1
21,christianity,1
22,shows,1
23,indented,1
24,years,1
25,translations,1
26,percent,1
27,purchased,1
28,microfiche,1
29,supplied,1
30,paleographic,1
31,english,6
32,ornament,1
33,manuscript,8
34,hand,1
35,renaissance,1
36,guide,1
37,text,5
38,contains,2
39,clear,1
40,christian,1
41,jane,1
42,verso,3
43,replacement,1
44,colour,1
45,paid,1
46,translation,2
47,produced,3
48,library,3
49,robert,1
50,plate,1
51,evidence,2
52,standard,1
53,mathew,1
54,initials,3
55,used,1
56,appear,1
57,jewish,1
58,facsimile,1
59,bookseller,1
60,biblical,1
61,margins,1
62,worked,1
63,complete,1
64,gospel,3
65,died,1
66,roberts,1
67,hatton,3
68,western,1
69,shortly,1
70,sure,1
71,supplies,1
72,small,1
73,reproduction,1
74,vulgate,1
75,marginal,1
76,book,1
77,bible,2
78,knowledge,1
79,origin,1
80,modern,3
81,archbishop,1
82,recto,2
83,list,1
84,doane,1
85,manuscripts,1
86,green,1
87,christopher,1
88,signature,2
89,latin,1
90,century,2
91,large,4
92,alternately,1
93,anglo-saxon,2
94,john,1
95,writings,1
96,produce,1
97,matthew,1
98,missing,3
99,initial,1
100,scripts,1
101,binghamton,1
102,photo,1
103,west,1
104,provenance,2
105,scribe,1
106,beginning,1
107,probably,1
108,turn,1
109,medieval,1
110,luke,2
111,bodleian,1
112,baron,2
113,canterbury,1
114,liuzza,1
115,london,2
116,miscellaneous,1
117,decorated,1
118,british,1
