,term,cnt
0,summer,1
1,abbey,1
2,honour,1
3,scribners,1
4,herstmonceux,1
5,intrigue,1
6,method,1
7,particularly,1
8,hind,1
9,landulph,1
10,doulcet,2
11,dates,1
12,need,1
13,pastime,1
14,solar,1
15,hill,1
16,dictionary,1
17,ancient,1
18,promise,1
19,account,3
20,thought,1
21,inherited,1
22,carrington,1
23,researches,1
24,retrieved,1
25,increasing,2
26,mathematics,3
27,encyclopedia,1
28,parallel,1
29,second,1
30,failed,1
31,years,4
32,france,1
33,statutes,1
34,analysis,1
35,american,2
36,mean,2
37,reputedly,1
38,letter,1
39,russell,1
40,claim,1
41,project,1
42,superintendent,1
43,view,1
44,prediction,1
45,cousin,1
46,manuscript,1
47,declined,1
48,cluster,1
49,relative,1
50,balance,1
51,college,7
52,presented,2
53,shower,2
54,greek,1
55,commemorates,1
56,discover,1
57,perturbations,3
58,finding,1
59,institute,2
60,calculations,6
61,review,1
62,cooch,1
63,library,3
64,newton,4
65,superseded,1
66,doubt,1
67,ultimately,2
68,philadelphia,1
69,urbain,2
70,physical,1
71,twice,1
72,appear,1
73,smith,1
74,burial,1
75,moore,1
76,sciences,3
77,winning,1
78,cornwall,3
79,laplaces,1
80,autobiography,1
81,cast,2
82,hansen,2
83,celestial,1
84,claims,1
85,worked,1
86,hall,1
87,confirmed,2
88,previously,2
89,existence,2
90,leonids,2
91,make,1
92,montreal,1
93,rested,1
94,known,2
95,motion,4
96,parallax,1
97,planets,1
98,small,1
99,practical,1
100,tables,2
101,unpublished,1
102,biennially,1
103,freedom,1
104,lacking,1
105,journal,5
106,edinburgh,2
107,prof,1
108,hubert,2
109,existing,1
110,meteors,2
111,paper,2
112,started,1
113,read,1
114,harvard,1
115,private,3
116,pontécoulant,2
117,evacuated,1
118,network,1
119,announced,1
120,verrier,6
121,brothers,1
122,quadratic,1
123,voyager,2
124,leverage,1
125,ellipse,1
126,time,2
127,induced,1
128,involved,1
129,ring,1
130,accepted,2
131,geometry,1
132,ascribed,1
133,later,4
134,writings,2
135,fame,1
136,uranus,7
137,verriers,2
138,bitterness,1
139,circumstances,1
140,accurate,1
141,grant,1
142,case,1
143,westminster,1
144,james,2
145,supplemented,1
146,learned,1
147,facts,2
148,discovery,8
149,cyclopædia,1
150,spent,1
151,clarification,1
152,president,1
153,obituary,1
154,neptune,12
155,burckhardts,1
156,observatory,7
157,duplicated,2
158,possessed,1
159,andreas,1
160,included,1
161,calculating,1
162,benson,1
163,attended,3
164,sons,1
165,glaisher,2
166,gradually,1
167,observed,1
168,england,1
169,intention,1
170,notable,1
171,consider,1
172,periodically,1
173,johann,2
174,permit,1
175,nautical,1
176,elegant,1
177,degree,1
178,algebra,1
179,medallion,1
180,slightest,1
181,discussed,1
182,longitude,1
183,grosser,1
184,re-election,1
185,francesco,1
186,future,1
187,monthly,3
188,finance,1
189,parents,1
190,bedmaker,1
191,confidence,1
192,theory,4
193,role,2
194,session,1
195,theories,1
196,search,2
197,bouvard,1
198,biddell,3
199,close,1
200,post,3
201,march,1
202,action,1
203,send,2
204,badharlick,1
205,iterations,1
206,tutored,1
207,fluxions,1
208,effect,2
209,explaining,1
210,halley,1
211,mid-september,1
212,tangential,2
213,leading,1
214,revisited,1
215,historical,2
216,independently,2
217,supplied,1
218,village,1
219,nature,1
220,victorias,1
221,described,2
222,definite,1
223,problem,4
224,neglecting,1
225,meteor,1
226,adams,38
227,novel,1
228,forgetting,1
229,lectured,1
230,passmore,1
231,antarctica,1
232,gausss,1
233,william,2
234,estate,1
235,keen,1
236,hughes,1
237,making,2
238,truro,1
239,chapman,1
240,olin,1
241,laws,2
242,standage,1
243,giles,1
244,buried,1
245,co-prediction,1
246,publicly,1
247,carl,1
248,long,1
249,died,2
250,harrison,1
251,path,1
252,investigating,1
253,karl,1
254,proof,1
255,paul,1
256,occupied,1
257,ability,1
258,halleys,1
259,rest,1
260,book,1
261,anson,1
262,laneast,3
263,queen,1
264,exterior,1
265,controversy,4
266,life,2
267,went,1
268,rejected,1
269,arts,1
270,archbishop,1
271,returning,2
272,studying,1
273,published,8
274,edited,1
275,director,2
276,scientific,2
277,public,3
278,records,1
279,island,1
280,history,3
281,alexis,1
282,charles,2
283,variation,1
284,treatise,1
285,manuscripts,2
286,famous,1
287,power,2
288,christopher,1
289,fine,1
290,merits,1
291,hugh,1
292,portrait,1
293,examinations,1
294,greater,1
295,modesty,1
296,ascertained,1
297,showing,1
298,vulcan,1
299,sending,1
300,lamenting,1
301,lewes,1
302,explain,1
303,final,1
304,damoiseau,2
305,professor,2
306,astronomy,5
307,honours,1
308,press,2
309,near,3
310,experts,1
311,bust,2
312,called,1
313,historically,1
314,mention,2
315,clockwork,1
316,stated,1
317,george,4
318,london,3
319,nunatak,2
320,cambridge,21
321,wide,1
322,peter,1
323,reputed,1
324,bear,1
325,uranuss,1
326,illness,1
327,position,2
328,gold,2
329,perturbing,1
330,admiration,1
331,greenwich,2
332,communicated,1
333,saturn,1
334,home,3
335,june,1
336,came,1
337,dreyer,1
338,attacking,1
339,farm,1
340,vacant,1
341,gustave,2
342,almanac,1
343,herkomer,1
344,unknown,1
345,obtained,2
346,following,3
347,activities,1
348,cemetery,1
349,space,1
350,memorial,2
351,international,2
352,office,1
353,organiser,1
354,force,2
355,combination,1
356,edmond,1
357,medal,3
358,guild,1
359,occasional,1
360,cornish,1
361,challis,4
362,constant,1
363,contributions,1
364,gottfried,1
365,isbn,1
366,born,2
367,berlin,1
368,conference,2
369,samuel,1
370,labours,1
371,amedeo,1
372,philippe,2
373,adamss,5
374,galle,3
375,text,1
376,largely,1
377,arose,1
378,importance,1
379,series,2
380,subject,3
381,glacier,1
382,erected,1
383,eggen,1
384,school,2
385,sydney,1
386,hitchcock,1
387,discrepancies,1
388,used,1
389,mothers,1
390,important,2
391,memoirs,2
392,parish,1
393,britannica,2
394,left,1
395,prize,2
396,credit,3
397,held,4
398,great,2
399,actual,1
400,connected,1
401,mathematician,2
402,launceston,2
403,coincided,1
404,university,10
405,offered,2
406,raphael,1
407,notices,3
408,lowndean,2
409,montord,1
410,asserted,1
411,addressing,1
412,radial,1
413,gravitation,1
414,course,1
415,higher-order,1
416,crater,1
417,royal,18
418,despite,1
419,outermost,1
420,work,6
421,occur,1
422,asking,1
423,cathedral,1
424,ascending,1
425,computation,1
426,january,3
427,magnetism,2
428,elongated,1
429,widely,1
430,arrived,1
431,astronomical,17
432,recognition,1
433,equal,1
434,grylls,2
435,baum,1
436,york,1
437,adept,1
438,reading,1
439,astronomer,5
440,convergence,1
441,collected,2
442,john,13
443,relationship,1
444,cold,1
445,meetings,1
446,discussion,1
447,papers,4
448,notes,2
449,delegate,2
450,jointly,1
451,boundless,1
452,taught,1
453,birthplace,1
454,location,1
455,marked,1
456,november,4
457,belongs,2
458,memoir,1
459,stolen,1
460,airy,7
461,powerful,1
462,lifetime,1
463,apportionment,1
464,coordinates,1
465,world,2
466,period,2
467,teaching,1
468,couch,11
469,traverses,1
470,hills,1
471,comte,1
472,brother,1
473,plana,3
474,visit,1
475,nick,1
476,knighthood,1
477,engaging,1
478,honorary,2
479,youthful,1
480,mechanics,2
481,british,6
482,attracted,1
483,administrator,1
484,including,1
485,association,4
486,expect,1
487,based,1
488,europes,1
489,link,1
490,edwards,1
491,castle,1
492,observations,1
493,planet,5
494,detract,1
495,academy,1
496,duty,1
497,académie,2
498,hampering,1
499,pursue,1
500,gravitational,2
501,given,1
502,money,1
503,isis,1
504,tablet,1
505,sheehan,1
506,tutoring,1
507,appointment,1
508,inscription,1
509,doggett,1
510,room,1
511,archived,1
512,priority,1
513,society,15
514,devonport,2
515,professorship,1
516,responded,1
517,hoped,1
518,solution,1
519,richard,1
520,feel,1
521,ascension,1
522,constants,1
523,lankford,1
524,terrestrial,2
525,founded,1
526,members,1
527,numerical,2
528,predicting,1
529,developed,1
530,field,1
531,friedrich,1
532,undergraduates,1
533,extent,1
534,burden,1
535,times,2
536,encyclopædia,2
537,named,3
538,orbit,3
539,september,1
540,publication,2
541,solved,1
542,educate,1
543,node,1
544,jupiter,1
545,expansion,1
546,original,1
547,bruce-joy,1
548,probable,1
549,year,3
550,mother,1
551,finally,1
552,classics,1
553,pronounced,1
554,comet,2
555,ghost,1
556,fully,1
557,astronomers,4
558,-tuttle,1
559,walter,1
560,paris,1
561,substantial,2
562,death,2
563,pre-existing,1
564,rate,3
565,lectures,2
566,insistence,1
567,centred,1
568,kept,1
569,alexander,1
570,copley,1
571,foreign,1
572,reess,1
573,vacation,2
574,failing,1
575,marie-charles,1
576,biography,2
577,corrections,1
578,attention,1
579,turner,1
580,determination,1
581,apparently,1
582,neptunes,2
583,arbitrator,1
584,antonio,1
585,succeeded,1
586,volume,1
587,similar,2
588,detailed,1
589,just,1
590,necessary,1
591,giovanni,1
592,kepler,1
593,treated,1
594,member,1
595,sampson,2
596,moon,2
597,andrews,1
598,lubbock,1
599,acknowledged,1
600,revisions,1
601,interfering,1
602,preferred,2
603,recovered,1
604,foregoing,1
605,predictions,2
606,mathematical,1
607,elaborate,1
608,merely,1
609,substance,1
610,description,1
611,turned,1
612,washington,1
613,pembroke,2
614,elected,3
615,larger,1
616,comets,1
617,fellow,3
618,johns,4
619,albert,1
620,universe,1
621,suggested,2
622,labour,1
623,britain,1
624,investigations,1
625,kollerstrom,1
626,self-taught,1
627,file,1
628,achievement,2
629,kind,1
630,asteroid,1
631,survey,1
632,stars,1
633,references,1
634,moons,2
635,concurred,1
636,meridian,2
637,acquired,1
638,gutenberg,1
639,positions,1
640,october,1
641,best,1
642,results,8
643,definitive,1
644,lidcot,1
645,newtons,3
646,declared,1
647,penguin,1
648,lodged,1
649,predecessors,1
650,fellowship,2
651,predicted,2
652,personal,1
653,ground,1
654,lunar,3
655,addressed,1
656,carlini,1
657,briefly,1
658,research,3
659,gave,1
660,vinces,1
