0.07483911514282227,
0.3856649398803711,
0.017667531967163086,
0.4846491813659668,
0.24316763877868652,
0.05788254737854004,
0.016491413116455078,
0.18706059455871582,
0.34000134468078613,
0.022515535354614258,
0.04599332809448242,
0.23508834838867188,
0.03609275817871094,
0.06165122985839844,
0.09304571151733398,
0.07808685302734375,
0.11215901374816895,
0.05208778381347656,
0.541677713394165,
0.030858278274536133,
0.041932106018066406,
0.012739896774291992,
0.12293028831481934,
0.0277864933013916,
0.03542613983154297,
0.05327343940734863,
0.05860590934753418,
0.8941783905029297,
0.07196617126464844,
0.06232047080993652,
0.018822193145751953,
0.04040217399597168,
0.3515894412994385,
0.09078264236450195,
0.04331254959106445,
0.5613412857055664,
0.2232036590576172,
0.16605663299560547,
0.08553194999694824,
0.06283426284790039,
0.451460599899292,
0.10242199897766113,
0.06277704238891602,
0.3228888511657715,
0.10684847831726074,
0.016133546829223633,
0.057373762130737305,
0.027919292449951172,
0.514519214630127,
0.02838921546936035,
0.019394636154174805,
0.18911409378051758,
0.06689262390136719,
0.1139833927154541,
0.08164358139038086,
0.05046987533569336,
0.13004469871520996,
0.04430532455444336,
0.11727070808410645,
0.07024884223937988,
0.13367962837219238,
0.1011817455291748,
0.018579483032226562,
0.020790576934814453,
0.30890560150146484,
0.13567185401916504,
0.04172515869140625,
0.3764350414276123,
0.039998769760131836,
0.3313717842102051,
0.01787877082824707,
0.01855325698852539,
0.2238457202911377,
0.03980875015258789,
0.03173565864562988,
0.0431218147277832,
0.04685258865356445,
0.05708718299865723,
0.09919524192810059,
0.09165287017822266,
0.028819561004638672,
0.26250696182250977,
0.17921805381774902,
0.3581197261810303,
0.30885934829711914,
0.0011878013610839844,
0.02750682830810547,
0.1859288215637207,
0.3037087917327881,
0.4091360569000244,
0.022307634353637695,
0.05648303031921387,
0.046509742736816406,
0.17471027374267578,
0.5404605865478516,
0.7734708786010742,
0.022620201110839844,
0.18807053565979004,
0.03351330757141113,
0.18002700805664062,
0.023388385772705078,
0.04659104347229004,
0.15874528884887695,
